Grupo;Silhueta;DuracaodaSessao;Velocidademediadenavegacao
C1;0.722379;601.0;0.0
C2;0.710354;6312.0;6.3
C4;0.690534;11123.0;6.8
C3;0.652486;4206.0;1.9
C4;0.702096;9921.0;10.1
C3;0.702754;3305.0;31.7
C2;0.564799;5112.0;3.8
C3;0.702928;3307.0;36.9
C1;0.722396;602.0;4.6
C3;0.691037;3306.0;466.6
C1;0.711252;300.0;0.0
C3;0.685864;3910.0;0.9
C1;0.719107;902.0;17.5
C3;0.575754;4509.0;74.5
C1;0.685055;1502.0;0.3
C1;0.684894;1503.0;20.9
C2;0.710296;6315.0;0.8
C3;0.622515;2706.0;45.4
C4;0.650813;9012.0;12.3
