No.,Time,Source,Destination,Protocol,Length,Info
499703,1247.9902550000002,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x6a) [Block ID: 63020 Packet ID: 10007465] Unknown Payload Type (0x3b66) 
499706,1247.993815,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x6a) [Block ID: 63020 Packet ID: 10011009] Unknown Payload Type (0x38dc) 
499707,1247.993903,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x6a) [Block ID: 63020 Packet ID: 10011120] Unknown Payload Type (0x38cb) 
499709,1247.995161,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x6a) [Block ID: 63020 Packet ID: 10012373] Unknown Payload Type (0x3cd7) 
499711,1247.996019,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x6a) [Block ID: 63020 Packet ID: 10013222] Unknown Payload Type (0x336b) 
499713,1247.9972480000001,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x6a) [Block ID: 63020 Packet ID: 10014458] Unknown Payload Type (0x3636) 
499715,1247.999123,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x6a) [Block ID: 63020 Packet ID: 10016265] Unknown Payload Type (0x3c8b) 
499717,1248.000951,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x6a) [Block ID: 63020 Packet ID: 10018165] Unknown Payload Type (0x31ab) 
499719,1248.028389,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x6a) [Block ID: 63020 Packet ID: 10045568] Unknown Payload Type (0x2a1f) 
499722,1248.0452369999998,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x6a) [Block ID: 63020 Packet ID: 10062432] Unknown Payload Type (0x27fe) 
499724,1248.047389,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x6a) [Block ID: 63020 Packet ID: 10064585] Unknown Payload Type (0x2e86) 
499726,1248.061419,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x6a) [Block ID: 63020 Packet ID: 10078608] Unknown Payload Type (0x21e6) 
499729,1248.078395,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x6a) [Block ID: 63020 Packet ID: 10095577] Unknown Payload Type (0x3feb) 
499730,1248.0785119999998,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x6a) [Block ID: 63020 Packet ID: 10095728] Unknown Payload Type (0x3f0d) 
499732,1248.078772,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x6a) [Block ID: 63020 Packet ID: 10095981] Unknown Payload Type (0x389f) 
499734,1248.0828390000001,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x6a) [Block ID: 63020 Packet ID: 10100042] Unknown Payload Type (0x2493) 
