No.,Time,Source,Destination,Protocol,Length,Info,TBP
185511,573.2871240000002,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x42) [Block ID: 63020 Packet ID: 6392987] Unknown Payload Type (0x2c1f) ,0.0
185513,573.288413,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x42) [Block ID: 63020 Packet ID: 6394264] Unknown Payload Type (0x30fd) ,0.0012889999998151325
185514,573.28846,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x42) [Block ID: 63020 Packet ID: 6394321] Unknown Payload Type (0x30fd) ,4.6999999995023245e-05
185516,573.290799,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x42) [Block ID: 63020 Packet ID: 6396652] Unknown Payload Type (0x3783) ,0.0023390000000063083
185518,573.29166,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x42) [Block ID: 63020 Packet ID: 6397515] Unknown Payload Type (0x39a5) ,0.0008609999999862339
185520,573.2937360000002,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x42) [Block ID: 63020 Packet ID: 6399573] Unknown Payload Type (0xa9) ,0.002076000000215572
185524,573.307536,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x42) [Block ID: 63020 Packet ID: 6413378] Unknown Payload Type (0x31f4) ,0.013799999999832835
185525,573.307606,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x42) [Block ID: 63020 Packet ID: 6413467] Unknown Payload Type (0x170) ,6.999999993695383e-05
185526,573.307652,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x42) [Block ID: 63020 Packet ID: 6413511] Unknown Payload Type (0x42) ,4.5999999997548e-05
185528,573.309244,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x42) [Block ID: 63020 Packet ID: 6415096] Unknown Payload Type (0x53f) ,0.0015920000000733125
185531,573.319913,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x42) [Block ID: 63020 Packet ID: 6425758] Unknown Payload Type (0x1ce1) ,0.010669000000007145
185533,573.320857,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x42) [Block ID: 63020 Packet ID: 6426711] Unknown Payload Type (0x1f2c) ,0.0009440000000040527
185535,573.324018,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x42) [Block ID: 63020 Packet ID: 6429855] Unknown Payload Type (0x29b9) ,0.003160999999977321
185537,573.326262,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x42) [Block ID: 63020 Packet ID: 6432116] Unknown Payload Type (0x2a61) ,0.0022440000000187865
185538,573.326307,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x42) [Block ID: 63020 Packet ID: 6432168] Unknown Payload Type (0x2a61) ,4.500000000007276e-05
185539,573.326334,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x42) [Block ID: 63020 Packet ID: 6432197] Unknown Payload Type (0x2a61) ,2.6999999931831553e-05
185541,573.330238,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x42) [Block ID: 63020 Packet ID: 6436079] Unknown Payload Type (0x149e) ,0.0039040000000341024
185543,573.331138,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x42) [Block ID: 63020 Packet ID: 6436993] Unknown Payload Type (0x16b5) ,0.0009000000000014552
185545,573.3348030000002,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x42) [Block ID: 63020 Packet ID: 6440641] Unknown Payload Type (0x16fa) ,0.003665000000182772
185546,573.334874,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x42) [Block ID: 63020 Packet ID: 6440730] Unknown Payload Type (0x16fa) ,7.099999982074223e-05
185547,573.334916,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x42) [Block ID: 63020 Packet ID: 6440774] Unknown Payload Type (0x16fa) ,4.200000000764703e-05
185548,573.3349559999998,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x42) [Block ID: 63020 Packet ID: 6440814] Unknown Payload Type (0x16fa) ,3.999999978532287e-05
185549,573.3349910000002,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x42) [Block ID: 63020 Packet ID: 6440851] Unknown Payload Type (0x16fa) ,3.5000000366380846e-05
185550,573.335027,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x42) [Block ID: 63020 Packet ID: 6440887] Unknown Payload Type (0x16fa) ,3.59999997954219e-05
185551,573.335065,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x42) [Block ID: 63020 Packet ID: 6440924] Unknown Payload Type (0x16fa) ,3.800000001774606e-05
185554,573.337246,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x42) [Block ID: 63020 Packet ID: 6443090] Unknown Payload Type (0x1ffc) ,0.0021810000000641594
185555,573.337312,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x42) [Block ID: 63020 Packet ID: 6443170] Unknown Payload Type (0x1f18) ,6.599999994705286e-05
185557,573.33813,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x42) [Block ID: 63020 Packet ID: 6443982] Unknown Payload Type (0x2171) ,0.0008179999999811116
185559,573.340784,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x42) [Block ID: 63020 Packet ID: 6446581] Unknown Payload Type (0xea7) ,0.0026540000000068176
185561,573.341856,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x42) [Block ID: 63020 Packet ID: 6447705] Unknown Payload Type (0x124c) ,0.0010720000000219443
185563,573.350206,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x42) [Block ID: 63020 Packet ID: 6456053] Unknown Payload Type (0x1d71) ,0.008349999999950342
185564,573.350269,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x42) [Block ID: 63020 Packet ID: 6456130] Unknown Payload Type (0x1d71) ,6.300000006831397e-05
185566,573.384011,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x42) [Block ID: 63020 Packet ID: 6489855] Unknown Payload Type (0x14f4) ,0.03374199999996108
185569,573.6139870000002,192.168.0.2,224.0.0.22,IGMPv3,54,Membership Report / Leave group 224.0.0.252,0.22997600000019247
