No.,Time,Source,Destination,Protocol,Length,Info,TBP
1167490,2284.784527,192.168.0.2,213.160.141.62,UDP,159,12236  >  61921 Len=117,0.0
1167491,2284.784863,192.168.0.2,5.137.190.58,UDP,159,12236  >  6881 Len=117,0.00033600000006117625
1167492,2284.785112,192.168.0.2,27.72.45.42,UDP,159,12236  >  30215 Len=117,0.0002490000001671433
1167493,2284.785232,192.168.0.2,79.182.11.233,UDP,159,12236  >  14443 Len=117,0.00012000000015177648
1167496,2284.786597,192.168.0.2,104.25.202.21,TCP,54,4218  >  443 [ACK] Seq=2519 Ack=13000798 Win=1959168 Len=0,0.001364999999623251
1167499,2284.786669,192.168.0.2,104.25.202.21,TCP,54,4218  >  443 [ACK] Seq=2519 Ack=13003718 Win=1959168 Len=0,7.200000027296483e-05
1167502,2284.786746,192.168.0.2,104.25.202.21,TCP,54,4218  >  443 [ACK] Seq=2519 Ack=13006638 Win=1959168 Len=0,7.70000001466542e-05
1167508,2284.786893,192.168.0.2,104.25.202.21,TCP,54,4218  >  443 [ACK] Seq=2519 Ack=13009558 Win=1959168 Len=0,0.00014699999974254752
1167511,2284.786960000001,192.168.0.2,104.25.202.21,TCP,54,4218  >  443 [ACK] Seq=2519 Ack=13012478 Win=1959168 Len=0,6.70000008540228e-05
1167514,2284.787583,192.168.0.2,104.25.202.21,TCP,54,4218  >  443 [ACK] Seq=2519 Ack=13015398 Win=1959168 Len=0,0.0006229999989955104
1167517,2284.787662,192.168.0.2,104.25.202.21,TCP,54,4218  >  443 [ACK] Seq=2519 Ack=13018318 Win=1959168 Len=0,7.900000036897836e-05
1167531,2284.789193,192.168.0.2,104.25.202.21,TCP,54,4218  >  443 [ACK] Seq=2519 Ack=13021238 Win=1959168 Len=0,0.0015309999998862622
1167536,2284.793739,192.168.0.2,104.25.202.21,TCP,54,4218  >  443 [ACK] Seq=2519 Ack=13024158 Win=1959168 Len=0,0.004546000000118511
1167539,2284.793821,192.168.0.2,104.25.202.21,TCP,54,4218  >  443 [ACK] Seq=2519 Ack=13027078 Win=1959168 Len=0,8.200000002034358e-05
1167540,2284.793831,192.168.0.2,106.71.19.184,BitTorrent,61,Port  ,9.999999747378752e-06
1167543,2284.79389,192.168.0.2,104.25.202.21,TCP,54,4218  >  443 [ACK] Seq=2519 Ack=13029998 Win=1959168 Len=0,5.899999996472616e-05
1167546,2284.793953000001,192.168.0.2,104.25.202.21,TCP,54,4218  >  443 [ACK] Seq=2519 Ack=13032918 Win=1959168 Len=0,6.300000086412183e-05
1167549,2284.794018,192.168.0.2,104.25.202.21,TCP,54,4218  >  443 [ACK] Seq=2519 Ack=13035838 Win=1959168 Len=0,6.499999926745659e-05
1167552,2284.794087,192.168.0.2,104.25.202.21,TCP,54,4218  >  443 [ACK] Seq=2519 Ack=13038758 Win=1959168 Len=0,6.900000016685226e-05
1167555,2284.794159,192.168.0.2,104.25.202.21,TCP,54,4218  >  443 [ACK] Seq=2519 Ack=13041678 Win=1959168 Len=0,7.199999981821747e-05
1167558,2284.7942350000008,192.168.0.2,104.25.202.21,TCP,54,4218  >  443 [ACK] Seq=2519 Ack=13044598 Win=1959168 Len=0,7.600000071761315e-05
