No.,Time,Source,Destination,Protocol,Length,Info
427436,1068.330444,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x5f) [Block ID: 63020 Packet ID: 14896925] Unknown Payload Type (0x592) 
427438,1068.3321740000001,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x5f) [Block ID: 63020 Packet ID: 14898747] Unknown Payload Type (0xaa5) 
427440,1068.437193,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x5f) [Block ID: 63020 Packet ID: 15003777] Unknown Payload Type (0x385e) 
427442,1068.44236,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x5f) [Block ID: 63020 Packet ID: 15008889] Unknown Payload Type (0x1bdf) 
427443,1068.442584,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x5f) [Block ID: 63020 Packet ID: 15009167] Unknown Payload Type (0x1bdf) 
427445,1068.457523,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x5f) [Block ID: 63020 Packet ID: 15024092] Unknown Payload Type (0x33a3) 
427447,1068.465383,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x5f) [Block ID: 63020 Packet ID: 15031962] Unknown Payload Type (0x2056) 
427449,1068.466292,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x5f) [Block ID: 63020 Packet ID: 15032873] Unknown Payload Type (0x22b7) 
427451,1068.471709,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x5f) [Block ID: 63020 Packet ID: 15038293] Unknown Payload Type (0x1fae) 
427453,1068.472623,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x5f) [Block ID: 63020 Packet ID: 15039207] Unknown Payload Type (0x2245) 
427456,1068.480277,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x5f) [Block ID: 63020 Packet ID: 15046702] Unknown Payload Type (0x2c10) 
427457,1068.4806859999999,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x5f) [Block ID: 63020 Packet ID: 15047211] Unknown Payload Type (0x2c84) 
427459,1068.485056,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x5f) [Block ID: 63020 Packet ID: 15051640] Unknown Payload Type (0x2614) 
