No.,Time,Source,Destination,Protocol,Length,Info,TBP
928074,1981.79297,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862814513525736272 Packet ID: 565653321] [RANGE_ERROR] Unknown Payload Type (0x3c0b) ,0.0
928076,1981.8442350000007,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862838015586779984 Packet ID: 565718857] [RANGE_ERROR] Unknown Payload Type (0x1f38) ,0.05126500000073975
928078,1981.8556620000002,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862835296872481616 Packet ID: 565784393] [RANGE_ERROR] Unknown Payload Type (0x21d1) ,0.011426999999457621
928080,1981.8569059999998,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862840309099316048 Packet ID: 565849929] [RANGE_ERROR] Unknown Payload Type (0x223f) ,0.001243999999587686
928082,1982.019181,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862806589311075152 Packet ID: 565915465] [RANGE_ERROR] Unknown Payload Type (0x3667) ,0.16227500000013606
928084,1982.031282,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862802753905279824 Packet ID: 565981001] [RANGE_ERROR] Unknown Payload Type (0x3020) ,0.012101000000029671
928086,1982.031554,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862802479027372880 Packet ID: 566046537] [RANGE_ERROR] Unknown Payload Type (0x177) ,0.00027199999999538704
928088,1982.0323019999998,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862800168334967632 Packet ID: 566112073] [RANGE_ERROR] Unknown Payload Type (0x13f0) ,0.000747999999930471
928090,1982.064853,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862811842056078160 Packet ID: 566177609] [RANGE_ERROR] Unknown Payload Type (0x349) ,0.03255100000023958
928091,1982.064938,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862811842056078160 Packet ID: 566243145] [RANGE_ERROR] Unknown Payload Type (0x1cf5) ,8.499999989908247e-05
928093,1982.086248,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862842576842048336 Packet ID: 566308681] [RANGE_ERROR] Unknown Payload Type (0x3f69) ,0.021310000000084983
928095,1982.088436,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862848538256655184 Packet ID: 566374217] [RANGE_ERROR] Unknown Payload Type (0x76) ,0.0021879999999327993
928097,1982.089939,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862853932735578960 Packet ID: 566439753] [RANGE_ERROR] Unknown Payload Type (0x37c9) ,0.0015029999999569554
928100,1982.0917379999999,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862829429947155280 Packet ID: 566505289] [RANGE_ERROR] Unknown Payload Type (0x273d) ,0.0017989999998917483
928101,1982.091814,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862828661148009296 Packet ID: 566570825] [RANGE_ERROR] Unknown Payload Type (0x2dea) ,7.60000002628658e-05
928106,1982.096573,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862844874649551696 Packet ID: 566636361] [RANGE_ERROR] Unknown Payload Type (0xa5a) ,0.004758999999921798
928107,1982.096677,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862844273354130256 Packet ID: 566701897] [RANGE_ERROR] Unknown Payload Type (0x3726) ,0.00010399999996479892
928108,1982.0967260000002,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862843637698970448 Packet ID: 566767433] [RANGE_ERROR] Unknown Payload Type (0x1ce) ,4.9000000217347406e-05
928110,1982.107964,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862825010425807696 Packet ID: 566832969] [RANGE_ERROR] Unknown Payload Type (0x162c) ,0.011237999999821113
928112,1982.109125,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862828811471864656 Packet ID: 566898505] [RANGE_ERROR] Unknown Payload Type (0x90f) ,0.0011609999999109277
928114,1982.1094719999999,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862829571681076048 Packet ID: 566964041] [RANGE_ERROR] Unknown Payload Type (0xcb3) ,0.0003469999999197171
928116,1982.111293,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862836173045810000 Packet ID: 567029577] [RANGE_ERROR] Unknown Payload Type (0x2b7b) ,0.0018210000000635773
928118,1982.1121059999998,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862838080011289424 Packet ID: 567095113] [RANGE_ERROR] Unknown Payload Type (0x1e5c) ,0.0008129999998800486
928120,1982.1146219999998,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862833858058437456 Packet ID: 567160649] [RANGE_ERROR] Unknown Payload Type (0x2eb3) ,0.0025160000000141736
928123,1982.147829,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862905489523000144 Packet ID: 567226185] [RANGE_ERROR] Unknown Payload Type (0xd2a) ,0.03320700000017496
928124,1982.147929,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862905489523000144 Packet ID: 567291721] [RANGE_ERROR] Unknown Payload Type (0x1c7f) ,9.999999997489795e-05
928126,1982.1481239999998,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862905124450779984 Packet ID: 567357257] [RANGE_ERROR] Unknown Payload Type (0x1963) ,0.00019499999984873284
928127,1982.148173,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862905124450779984 Packet ID: 567422793] [RANGE_ERROR] Unknown Payload Type (0x1996) ,4.9000000217347406e-05
928130,1982.150262,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862912760902632272 Packet ID: 567488329] [RANGE_ERROR] Unknown Payload Type (0x375f) ,0.0020890000000690634
928131,1982.15035,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862912601988842320 Packet ID: 567553865] [RANGE_ERROR] Unknown Payload Type (0x2999) ,8.799999977782136e-05
928133,1982.1517079999999,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862916772402086736 Packet ID: 567619401] [RANGE_ERROR] Unknown Payload Type (0xbaa) ,0.0013579999999819847
928135,1982.152143,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862918477504103248 Packet ID: 567684937] [RANGE_ERROR] Unknown Payload Type (0x1477) ,0.0004350000001522858
928137,1982.1531989999999,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862921556995654480 Packet ID: 567750473] [RANGE_ERROR] Unknown Payload Type (0x141d) ,0.0010559999998349667
928140,1982.156159,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862854916283089744 Packet ID: 567816009] [RANGE_ERROR] Unknown Payload Type (0x2db7) ,0.0029600000000300497
928141,1982.156275,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862854203318518608 Packet ID: 567881545] [RANGE_ERROR] Unknown Payload Type (0x16dd) ,0.0001160000001618755
928143,1982.160212,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862860753143645008 Packet ID: 567947081] [RANGE_ERROR] Unknown Payload Type (0x3eb2) ,0.003936999999950785
928145,1982.208255,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862879470611120976 Packet ID: 568012617] [RANGE_ERROR] Unknown Payload Type (0x1863) ,0.04804300000000694
928146,1982.208316,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862879470611120976 Packet ID: 568078153] [RANGE_ERROR] Unknown Payload Type (0x3be1) ,6.099999995967664e-05
928147,1982.208343,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862879470611120976 Packet ID: 568143689] [RANGE_ERROR] Unknown Payload Type (0x804) ,2.700000004551839e-05
928149,1982.209162,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862882992484303696 Packet ID: 568209225] [RANGE_ERROR] Unknown Payload Type (0x2bbe) ,0.0008190000000922737
928150,1982.2343329999999,192.168.0.2,113.193.151.171,UDP,1312,62257  >  50670 Len=1270,0.025170999999772903
928152,1982.289472,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863063544319492944 Packet ID: 568274761] [RANGE_ERROR] Unknown Payload Type (0x3c10) ,0.055139000000053784
928154,1982.303665,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863064953068766032 Packet ID: 568340297] [RANGE_ERROR] Unknown Payload Type (0x12df) ,0.014192999999977474
928155,1982.303732,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863064953068766032 Packet ID: 568405833] [RANGE_ERROR] Unknown Payload Type (0x38ad) ,6.700000017190177e-05
928157,1982.727258,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863988349562569552 Packet ID: 568471369] [RANGE_ERROR] Unknown Payload Type (0x2fc4) ,0.42352599999981067
928160,1982.736439,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863908918437397328 Packet ID: 568536905] [RANGE_ERROR] Unknown Payload Type (0x3a88) ,0.009181000000126005
928161,1982.7365280000001,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863908918437397328 Packet ID: 568602441] [RANGE_ERROR] Unknown Payload Type (0x3384) ,8.900000011635711e-05
928162,1982.7365739999998,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863908918437397328 Packet ID: 568667977] [RANGE_ERROR] Unknown Payload Type (0x12af) ,4.599999965648749e-05
928163,1982.7366120000002,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863908918437397328 Packet ID: 568733513] [RANGE_ERROR] Unknown Payload Type (0x29e4) ,3.8000000358806574e-05
928164,1982.736648,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863908918437397328 Packet ID: 568799049] [RANGE_ERROR] Unknown Payload Type (0x223d) ,3.599999990910874e-05
928165,1982.736682,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863908918437397328 Packet ID: 568864585] [RANGE_ERROR] Unknown Payload Type (0x112e) ,3.399999991415825e-05
928166,1982.7367179999999,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863908918437397328 Packet ID: 568930121] [RANGE_ERROR] Unknown Payload Type (0x26f0) ,3.599999990910874e-05
928167,1982.736752,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863908918437397328 Packet ID: 568995657] [RANGE_ERROR] Unknown Payload Type (0x36cf) ,3.400000014153193e-05
928168,1982.736787,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863908918437397328 Packet ID: 569061193] [RANGE_ERROR] Unknown Payload Type (0x3ade) ,3.500000002532033e-05
928169,1982.7368190000002,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863908918437397328 Packet ID: 569126729] [RANGE_ERROR] Unknown Payload Type (0x1eae) ,3.200000014658144e-05
928170,1982.736857,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863908918437397328 Packet ID: 569192265] [RANGE_ERROR] Unknown Payload Type (0x90d) ,3.799999990405922e-05
928171,1982.7368989999998,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863908918437397328 Packet ID: 569257801] [RANGE_ERROR] Unknown Payload Type (0x2dee) ,4.199999966658652e-05
928172,1982.736933,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863908918437397328 Packet ID: 569323337] [RANGE_ERROR] Unknown Payload Type (0x1e73) ,3.400000014153193e-05
928173,1982.7369670000005,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863908918437397328 Packet ID: 569388873] [RANGE_ERROR] Unknown Payload Type (0x2cb5) ,3.400000059627928e-05
928174,1982.7370210000001,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863483531991499600 Packet ID: 569454409] [RANGE_ERROR] Unknown Payload Type (0x3f3a) ,5.399999963628943e-05
928175,1982.737056,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863483531991499600 Packet ID: 569519945] [RANGE_ERROR] Unknown Payload Type (0x31e) ,3.499999979794666e-05
928176,1982.7370899999999,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863483531991499600 Packet ID: 569585481] [RANGE_ERROR] Unknown Payload Type (0x1b39) ,3.399999991415825e-05
928177,1982.737123,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863483531991499600 Packet ID: 569651017] [RANGE_ERROR] Unknown Payload Type (0x26ee) ,3.300000025774352e-05
928178,1982.737157,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863483531991499600 Packet ID: 569716553] [RANGE_ERROR] Unknown Payload Type (0x1399) ,3.399999991415825e-05
928179,1982.737197,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863483531991499600 Packet ID: 569782089] [RANGE_ERROR] Unknown Payload Type (0x1d9d) ,3.999999989900971e-05
928180,1982.737234,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863483531991499600 Packet ID: 569847625] [RANGE_ERROR] Unknown Payload Type (0x44a) ,3.700000002027082e-05
928181,1982.7372690000002,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863483531991499600 Packet ID: 569913161] [RANGE_ERROR] Unknown Payload Type (0x1e5f) ,3.500000025269401e-05
928182,1982.737303,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863483531991499600 Packet ID: 569978697] [RANGE_ERROR] Unknown Payload Type (0x1d34) ,3.399999991415825e-05
928183,1982.7373350000007,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863483531991499600 Packet ID: 570044233] [RANGE_ERROR] Unknown Payload Type (0x3467) ,3.200000060132879e-05
928184,1982.73738,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863483531991499600 Packet ID: 570109769] [RANGE_ERROR] Unknown Payload Type (0x1267) ,4.499999931795173e-05
928185,1982.7374140000002,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863483531991499600 Packet ID: 570175305] [RANGE_ERROR] Unknown Payload Type (0x496) ,3.400000014153193e-05
928186,1982.7374489999997,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863483531991499600 Packet ID: 570240841] [RANGE_ERROR] Unknown Payload Type (0x19e6) ,3.499999957057298e-05
928187,1982.737484,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863483531991499600 Packet ID: 570306377] [RANGE_ERROR] Unknown Payload Type (0x268) ,3.500000025269401e-05
928188,1982.73752,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863483531991499600 Packet ID: 570371913] [RANGE_ERROR] Unknown Payload Type (0x2b7e) ,3.599999990910874e-05
928189,1982.737559,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863483531991499600 Packet ID: 570437449] [RANGE_ERROR] Unknown Payload Type (0x38b9) ,3.90000000152213e-05
928190,1982.7375949999998,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863483531991499600 Packet ID: 570502985] [RANGE_ERROR] Unknown Payload Type (0x4ed) ,3.599999990910874e-05
928191,1982.737631,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16863483531991499600 Packet ID: 570568521] [RANGE_ERROR] Unknown Payload Type (0x38d1) ,3.600000013648241e-05
928192,1983.09469,192.168.0.2,65.52.108.185,TLSv1,107,Application Data,0.3570589999999356
928195,1983.1367989999999,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862904879637644112 Packet ID: 570634057] [RANGE_ERROR] Unknown Payload Type (0x2716) ,0.04210899999998219
928196,1983.136864,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862904879637644112 Packet ID: 570699593] [RANGE_ERROR] Unknown Payload Type (0x192d) ,6.500000017695129e-05
928197,1983.136889,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862904879637644112 Packet ID: 570765129] [RANGE_ERROR] Unknown Payload Type (0x2554) ,2.5000000050567905e-05
928198,1983.136924,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862904879637644112 Packet ID: 570830665] [RANGE_ERROR] Unknown Payload Type (0x10a4) ,3.499999979794666e-05
928199,1983.1369489999997,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862904879637644112 Packet ID: 570896201] [RANGE_ERROR] Unknown Payload Type (0x1252) ,2.499999982319423e-05
928200,1983.1369719999998,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862904879637644112 Packet ID: 570961737] [RANGE_ERROR] Unknown Payload Type (0x2aaa) ,2.300000005561742e-05
928201,1983.1369960000002,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x16) [Block ID: 16862904879637644112 Packet ID: 571027273] [RANGE_ERROR] Unknown Payload Type (0x752) ,2.4000000394153176e-05
