No.,Time,Source,Destination,Protocol,Length,Info,TBP
144626,488.43298899999996,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3d) [Block ID: 63020 Packet ID: 5424908] Unknown Payload Type (0x2a1) ,0.0
144628,488.437193,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3d) [Block ID: 63020 Packet ID: 5429122] Unknown Payload Type (0x319f) ,0.00420400000001564
144630,488.44401600000003,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3d) [Block ID: 63020 Packet ID: 5435943] Unknown Payload Type (0x367e) ,0.00682300000005398
144632,488.444309,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3d) [Block ID: 63020 Packet ID: 5436246] Unknown Payload Type (0x3451) ,0.00029299999994236714
144634,488.44568799999996,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3d) [Block ID: 63020 Packet ID: 5437615] Unknown Payload Type (0x30f1) ,0.0013789999999858082
144636,488.44625199999996,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3d) [Block ID: 63020 Packet ID: 5438184] Unknown Payload Type (0x3036) ,0.0005639999999971224
144638,488.447296,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3d) [Block ID: 63020 Packet ID: 5439228] Unknown Payload Type (0x341b) ,0.001044000000035794
144640,488.449172,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3d) [Block ID: 63020 Packet ID: 5441105] Unknown Payload Type (0x2faf) ,0.001875999999981559
144642,488.47092599999996,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3d) [Block ID: 63020 Packet ID: 5462854] Unknown Payload Type (0x54c) ,0.021753999999987172
144644,488.47327800000005,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3d) [Block ID: 63020 Packet ID: 5465206] Unknown Payload Type (0x145) ,0.0023520000000871732
144646,488.476079,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3d) [Block ID: 63020 Packet ID: 5468007] Unknown Payload Type (0x3af3) ,0.0028009999999767388
