No.,Time,Source,Destination,Protocol,Length,Info
442941,1101.101997,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x61) [Block ID: 63020 Packet ID: 14114158] Unknown Payload Type (0x2b13) 
442943,1101.103852,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x61) [Block ID: 63020 Packet ID: 14115994] Unknown Payload Type (0x29d4) 
442945,1101.113098,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x61) [Block ID: 63020 Packet ID: 14125230] Unknown Payload Type (0x3604) 
442946,1101.1131990000001,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x61) [Block ID: 63020 Packet ID: 14125355] Unknown Payload Type (0x3604) 
442949,1101.115219,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x61) [Block ID: 63020 Packet ID: 14127363] Unknown Payload Type (0x3d2e) 
442950,1101.115302,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x61) [Block ID: 63020 Packet ID: 14127458] Unknown Payload Type (0x3c61) 
442951,1101.115348,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x61) [Block ID: 63020 Packet ID: 14127509] Unknown Payload Type (0x3c61) 
442955,1101.1186400000001,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x61) [Block ID: 63020 Packet ID: 14130783] Unknown Payload Type (0x746) 
442956,1101.118713,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x61) [Block ID: 63020 Packet ID: 14130872] Unknown Payload Type (0x746) 
442957,1101.118766,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x61) [Block ID: 63020 Packet ID: 14130927] Unknown Payload Type (0x3370) 
442958,1101.118819,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x61) [Block ID: 63020 Packet ID: 14130982] Unknown Payload Type (0x3203) 
442965,1101.1384,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x61) [Block ID: 63020 Packet ID: 14150536] Unknown Payload Type (0x1520) 
442966,1101.13851,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x61) [Block ID: 63020 Packet ID: 14150668] Unknown Payload Type (0xd64) 
442969,1101.142317,192.168.0.2,192.82.211.130,TCP,66,3826  >  80 [SYN] Seq=0 Win=17520 Len=0 MSS=1460 WS=256 SACK_PERM=1
442972,1101.150608,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x61) [Block ID: 63020 Packet ID: 14162746] Unknown Payload Type (0x196) 
442974,1101.155901,192.168.0.2,201.6.5.25,TCP,66,3827  >  80 [SYN] Seq=0 Win=17520 Len=0 MSS=1460 WS=256 SACK_PERM=1
442976,1101.186753,192.168.0.2,201.6.5.25,TCP,54,3827  >  80 [ACK] Seq=1 Ack=1 Win=17408 Len=0
442977,1101.186984,192.168.0.2,201.6.5.25,HTTP,582,GET /sass-canais/canaisiGv02/css/ig-canais-noticias.css?2017v0120758 HTTP/1.1 
442978,1101.209791,192.168.0.2,34.230.148.42,WebSocket,336,WebSocket Text [FIN] [MASKED]
442982,1101.234409,192.168.0.2,201.6.5.25,TCP,54,3827  >  80 [ACK] Seq=529 Ack=2921 Win=17408 Len=0
