No.,Time,Source,Destination,Protocol,Length,Info,TBP
142306,482.97973600000006,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3c) [Block ID: 63020 Packet ID: 16748887] Unknown Payload Type (0x3a38) ,0.0007920000000467553
142309,482.98174000000006,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3c) [Block ID: 63020 Packet ID: 16750894] Unknown Payload Type (0xf0) ,0.0020039999999994507
142310,482.981775,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3c) [Block ID: 63020 Packet ID: 16750933] Unknown Payload Type (0xf0) ,3.4999999968476914e-05
142311,482.98181100000005,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3c) [Block ID: 63020 Packet ID: 16750970] Unknown Payload Type (0xf0) ,3.6000000022795575e-05
142312,482.981844,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3c) [Block ID: 63020 Packet ID: 16751003] Unknown Payload Type (0x2d) ,3.299999997352643e-05
142316,482.983425,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3c) [Block ID: 63020 Packet ID: 16752578] Unknown Payload Type (0x55e) ,0.001580999999987398
142317,482.98348,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3c) [Block ID: 63020 Packet ID: 16752638] Unknown Payload Type (0x500) ,5.499999997482519e-05
142318,482.98352,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3c) [Block ID: 63020 Packet ID: 16752680] Unknown Payload Type (0x430) ,4.0000000012696546e-05
142320,482.988022,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3c) [Block ID: 63020 Packet ID: 16757162] Unknown Payload Type (0x3f04) ,0.0045020000000022264
142322,482.98908,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3c) [Block ID: 63020 Packet ID: 16758224] Unknown Payload Type (0x1d8) ,0.0010580000000004475
142324,482.98940999999996,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3c) [Block ID: 63020 Packet ID: 16758560] Unknown Payload Type (0x2c5) ,0.00032999999996263796
142326,482.990839,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3c) [Block ID: 63020 Packet ID: 16759982] Unknown Payload Type (0x6f0) ,0.0014290000000301006
142328,482.991844,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3c) [Block ID: 63020 Packet ID: 16760978] Unknown Payload Type (0x93c) ,0.0010050000000205728
142330,482.993038,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3c) [Block ID: 63020 Packet ID: 16762192] Unknown Payload Type (0x19a) ,0.001193999999998141
142332,483.00003200000003,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3c) [Block ID: 63020 Packet ID: 16769175] Unknown Payload Type (0x361c) ,0.006994000000020151
142334,483.002437,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3c) [Block ID: 63020 Packet ID: 16771590] Unknown Payload Type (0x3d9a) ,0.002404999999953361
142336,483.015408,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3d) [Block ID: 63020 Packet ID: 7319] Unknown Payload Type (0x349) ,0.012970999999993182
142338,483.018913,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x3d) [Block ID: 63020 Packet ID: 10832] Unknown Payload Type (0x34ee) ,0.003505000000018299
