No.,Time,Source,Destination,Protocol,Length,Info
1135768,2244.869255,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135770,2244.869338,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135772,2244.873614,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135774,2244.874705,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135776,2244.882223,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135780,2244.882472,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135781,2244.88253,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135782,2244.88258,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135783,2244.882621,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135785,2244.8863850000002,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135788,2244.886682,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135789,2244.88673,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135797,2244.8922780000003,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135798,2244.892368,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135799,2244.892421,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135800,2244.892477,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135801,2244.892538,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135802,2244.892584,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135803,2244.892638,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135804,2244.892675,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135805,2244.892703,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135810,2244.896266,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135811,2244.896326,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135812,2244.8963559999997,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135813,2244.896406,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135814,2244.896441,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135816,2244.899062,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135822,2244.8992940000003,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135823,2244.899336,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135824,2244.899366,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135825,2244.899409,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135826,2244.899433,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135827,2244.8994629999997,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135829,2244.904567,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135831,2244.9048350000003,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135833,2244.909223,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135839,2244.909354,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135840,2244.909393,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135841,2244.9094210000003,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135842,2244.909452,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135843,2244.909477,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135844,2244.909506,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135845,2244.909531,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135846,2244.9095620000003,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135847,2244.909595,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135856,2244.91753,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135857,2244.917594,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135858,2244.9176239999997,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135859,2244.917677,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135860,2244.917727,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135861,2244.917772,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135862,2244.917813,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135863,2244.91785,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135864,2244.917881,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135865,2244.91792,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135866,2244.917959,192.168.0.2,178.48.53.33,UDP,62,12236  >  8999 Len=20
1135868,2244.91841,192.168.0.2,224.0.0.22,IGMPv3,54,Membership Report / Leave group 224.0.0.252
1135870,2244.921995,192.168.0.2,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources
1135872,2244.9227339999998,192.168.0.2,224.0.0.252,LLMNR,75,Standard query 0xccb3 ANY DESKTOP-BNL0PME
1135891,2244.96307,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135892,2244.963125,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135893,2244.96317,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135894,2244.963202,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135895,2244.963232,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135896,2244.963263,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135897,2244.963295,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135898,2244.963325,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135899,2244.963363,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135900,2244.963398,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135901,2244.963421,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135902,2244.963457,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135903,2244.9634960000003,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135904,2244.963525,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135905,2244.963562,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135906,2244.9636,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135907,2244.963629,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135908,2244.9636579999997,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135909,2244.963687,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135910,2244.96371,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135911,2244.963738,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135912,2245.0140760000004,192.168.0.2,201.52.67.173,UDP,62,12236  >  12236 Len=20
1135913,2245.023549,192.168.0.2,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources
1135936,2245.145913,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135937,2245.1459760000002,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135938,2245.146011,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135939,2245.146041,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135940,2245.146072,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135941,2245.146112,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135942,2245.146139,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135943,2245.146179,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135944,2245.1462079999997,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135945,2245.14624,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135946,2245.14628,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135947,2245.146304,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135948,2245.14634,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135949,2245.146375,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135950,2245.146404,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135951,2245.14644,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135952,2245.146575,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135953,2245.146605,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135954,2245.146632,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135955,2245.14667,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135956,2245.146699,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135957,2245.1467350000003,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135958,2245.146863,192.168.0.2,113.193.151.171,UDP,1312,62257  >  50670 Len=1270
1135980,2245.220423,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135981,2245.220487,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135982,2245.220522,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135983,2245.2205670000003,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135984,2245.2206149999997,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135985,2245.220664,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1135986,2245.220715,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136008,2245.220758,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136009,2245.220798,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136010,2245.220844,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136011,2245.220889,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136012,2245.220934,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136013,2245.220977,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136014,2245.221024,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136015,2245.2210670000004,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136016,2245.221106,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136017,2245.221131,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136018,2245.221168,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136019,2245.2212059999997,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136020,2245.221236,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136021,2245.221282,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136022,2245.221315,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136023,2245.221345,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136024,2245.2213920000004,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136025,2245.2214329999997,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136026,2245.221459,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136027,2245.221498,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136028,2245.221522,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136029,2245.221557,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136030,2245.221596,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136031,2245.221627,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136032,2245.221659,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136033,2245.221698,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136034,2245.221726,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136035,2245.221755,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136050,2245.221802,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136051,2245.221836,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136052,2245.221864,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136053,2245.221893,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136054,2245.2219210000003,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136055,2245.221945,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136056,2245.221968,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136057,2245.221997,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136058,2245.222021,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136059,2245.2220629999997,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136060,2245.2220899999998,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136061,2245.22212,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136062,2245.222156,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136063,2245.222195,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136064,2245.222222,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136065,2245.222276,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136066,2245.22231,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136067,2245.222346,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136068,2245.222385,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136069,2245.222436,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136070,2245.22248,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136071,2245.222526,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136072,2245.222554,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136073,2245.222605,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136074,2245.2226530000003,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136075,2245.2227,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136076,2245.2227510000002,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136077,2245.222782,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136078,2245.222813,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136079,2245.2228609999997,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136080,2245.222899,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
1136081,2245.22293,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426
