No.,Time,Source,Destination,Protocol,Length,Info
567130,1397.9753130000001,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 8997583] Unknown Payload Type (0x2928) 
567685,1398.082917,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9105172] Unknown Payload Type (0xcf2) 
567689,1398.083003,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9105275] Unknown Payload Type (0xcf2) 
567702,1398.085687,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9107942] Unknown Payload Type (0x225e) 
567725,1398.089477,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9111744] Unknown Payload Type (0x2f8f) 
567740,1398.091713,192.168.0.2,65.52.108.185,TLSv1,107,Application Data
568678,1398.3002119999999,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9322476] Unknown Payload Type (0xb18) 
568698,1398.301075,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9323340] Unknown Payload Type (0xd7e) 
568702,1398.301133,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9323404] Unknown Payload Type (0xd7e) 
568706,1398.303379,192.168.0.2,65.52.108.185,TCP,54,2199  >  443 [ACK] Seq=1697 Ack=4417 Win=66 Len=0
568712,1398.310207,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9332322] Unknown Payload Type (0x171e) 
568718,1398.310684,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9332897] Unknown Payload Type (0x8d4) 
568726,1398.3112210000002,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9333477] Unknown Payload Type (0x9d4) 
568921,1398.348731,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9370990] Unknown Payload Type (0x3073) 
569034,1398.373737,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9396001] Unknown Payload Type (0x2a62) 
569102,1398.394893,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9417153] Unknown Payload Type (0x3b28) 
569147,1398.402918,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9425179] Unknown Payload Type (0x2eb5) 
569444,1398.4686609999999,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9490925] Unknown Payload Type (0x390) 
569488,1398.476508,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9498586] Unknown Payload Type (0xb85) 
569494,1398.477063,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9499265] Unknown Payload Type (0xd55) 
569497,1398.4773380000001,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9499553] Unknown Payload Type (0xd4e) 
569532,1398.478876,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9501137] Unknown Payload Type (0x3c5b) 
569534,1398.478938,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9501211] Unknown Payload Type (0x3b7b) 
569537,1398.47899,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9501263] Unknown Payload Type (0x3247) 
569611,1398.493492,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9515746] Unknown Payload Type (0x35cd) 
570052,1398.5789439999999,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9601211] Unknown Payload Type (0x248e) 
570054,1398.5799029999998,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9602167] Unknown Payload Type (0x26f3) 
570057,1398.580858,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9603132] Unknown Payload Type (0x2846) 
570309,1398.63256,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9654821] Unknown Payload Type (0x28be) 
570327,1398.635836,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9658095] Unknown Payload Type (0x1d86) 
570330,1398.635923,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9658194] Unknown Payload Type (0x1d86) 
570351,1398.638838,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9661083] Unknown Payload Type (0x27e6) 
570356,1398.638925,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9661195] Unknown Payload Type (0x27e6) 
570359,1398.638976,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9661249] Unknown Payload Type (0x27cd) 
570368,1398.644626,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9666883] Unknown Payload Type (0x3c8a) 
570500,1398.6710890000002,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9693352] Unknown Payload Type (0xa37) 
570505,1398.6826429999999,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9704907] Unknown Payload Type (0xd9b) 
570636,1398.732745,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9755003] Unknown Payload Type (0x2a4c) 
570816,1398.769444,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9791704] Unknown Payload Type (0x1d) 
571308,1398.903542,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9925788] Unknown Payload Type (0x35e0) 
571313,1398.903788,192.168.0.2,222.139.8.84,UDP,62,12236  >  63934 Len=20
571346,1398.91331,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9935568] Unknown Payload Type (0x2a87) 
571366,1398.915129,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9937392] Unknown Payload Type (0x30cb) 
571385,1398.921722,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9943963] Unknown Payload Type (0xa30) 
571390,1398.922068,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9944255] Unknown Payload Type (0x3f60) 
571403,1398.922563,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9944826] Unknown Payload Type (0x220c) 
571406,1398.922633,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9944904] Unknown Payload Type (0x228b) 
571440,1398.929249,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 9951507] Unknown Payload Type (0x370c) 
572291,1399.0890550000001,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 10111319] Unknown Payload Type (0x3e4e) 
572350,1399.101983,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 10124247] Unknown Payload Type (0x61b) 
572354,1399.102049,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 10124322] Unknown Payload Type (0x4e0) 
572379,1399.138351,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 10160577] Unknown Payload Type (0x1e48) 
572452,1399.140018,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 10162276] Unknown Payload Type (0x3a7e) 
572537,1399.142388,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 10164480] Unknown Payload Type (0x2c73) 
572538,1399.1428130000002,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 10164990] Unknown Payload Type (0x1c1b) 
572539,1399.1431380000001,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 10165324] Unknown Payload Type (0x1c0d) 
572541,1399.1446,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 10166865] Unknown Payload Type (0x21b9) 
572543,1399.145459,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 10167702] Unknown Payload Type (0x22af) 
572630,1399.1754460000002,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 10197678] Unknown Payload Type (0x23d5) 
572785,1399.203319,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 10225579] Unknown Payload Type (0x1b7d) 
572823,1399.206732,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 10228991] Unknown Payload Type (0x2404) 
573261,1399.2867,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 10308958] Unknown Payload Type (0x1474) 
573297,1399.3065179999999,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 10328643] Unknown Payload Type (0xce8) 
573329,1399.335209,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 10357470] Unknown Payload Type (0x1b16) 
573355,1399.355659,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 10377921] Unknown Payload Type (0x1cd8) 
573360,1399.357311,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x73) [Block ID: 63020 Packet ID: 10379579] Unknown Payload Type (0x224c) 
