No.,Time,Source,Destination,Protocol,Length,Info,TBP
1060952,2117.885867,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,0.0
1060953,2117.886086,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,0.00021900000001551234
1060954,2117.886322,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,0.00023599999985890463
1060955,2117.88657,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,0.0002480000002833549
1060956,2117.886817,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,0.00024699999994481914
1060958,2118.099194000001,192.168.0.2,65.52.108.185,TLSv1,107,Application Data,0.21237700000074256
1060964,2118.1560640000002,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,0.056869999999435095
1060965,2118.1561269999997,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,6.299999949987978e-05
1060966,2118.156161,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,3.400000014153193e-05
1060967,2118.156203,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,4.200000012133387e-05
1060969,2118.166858,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,0.010655000000042492
1060974,2118.166915,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,5.6999999742402e-05
1060975,2118.166949,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,3.400000014153193e-05
1060976,2118.16698,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,3.100000003541936e-05
1060977,2118.1670059999997,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,2.5999999706982635e-05
1060978,2118.167034,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,2.8000000384054147e-05
1060979,2118.1670710000008,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,3.7000000702391844e-05
1060980,2118.167093,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,2.1999999262334313e-05
1060982,2118.283655,192.168.0.2,65.52.108.185,TCP,54,2199  >  443 [ACK] Seq=2545 Ack=6625 Win=63 Len=0,0.11656200000015815
1060984,2118.287369,192.168.0.2,113.193.151.171,GVSP,1468,Unknown Format (0x1e) [Block ID: 3230653535100126032 Packet ID: -1400929689] [BLOCK_DROPPED] [PACKET_RESEND] Unknown Payload Type (0x232) ,0.003713999999945372
1060985,2118.2874469999997,192.168.0.2,113.193.151.171,GVSP,1468,Unknown Format (0x1e) [Block ID: 3230653535100126032 Packet ID: -1400864153] [BLOCK_DROPPED] [PACKET_RESEND] Unknown Payload Type (0x37e2) ,7.799999957569526e-05
1060988,2118.3324789999997,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,0.04503199999999197
1060989,2118.332531,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,5.200000032345997e-05
1060999,2118.332866,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,0.00033500000017738785
1061000,2118.332916,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,4.999999964638846e-05
1061001,2118.3329489999996,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,3.299999980299617e-05
1061002,2118.332974,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,2.500000027794158e-05
1061003,2118.333003,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,2.900000026784255e-05
1061004,2118.3330339999998,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,3.099999958067201e-05
1061005,2118.333061,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,2.700000004551839e-05
1061006,2118.3330969999997,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,3.599999990910874e-05
1061007,2118.333131,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,3.400000014153193e-05
1061008,2118.333159,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,2.7999999929306796e-05
1061009,2118.3331829999997,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,2.3999999939405825e-05
1061010,2118.333212,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,2.900000026784255e-05
1061011,2118.333235,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,2.300000005561742e-05
1061012,2118.333262,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,2.700000004551839e-05
1061013,2118.333286,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,2.3999999939405825e-05
1061015,2118.3607,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,0.027414000000135275
1061024,2118.360759,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,5.899999996472616e-05
1061025,2118.360789,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,2.9999999696883606e-05
1061026,2118.36082,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,3.100000003541936e-05
1061027,2118.360851000001,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,3.1000000944914063e-05
1061028,2118.360876,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,2.499999936844688e-05
1061029,2118.360916,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,3.999999989900971e-05
1061030,2118.3609469999997,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,3.099999958067201e-05
1061031,2118.360982,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,3.500000048006768e-05
1061032,2118.361024,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,4.199999966658652e-05
1061033,2118.361063,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,3.90000000152213e-05
1061034,2118.361088,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,2.500000027794158e-05
1061037,2118.388688,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,0.027599999999893043
1061042,2118.388997,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,0.00030900000001565786
1061043,2118.3890460000002,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,4.9000000217347406e-05
1061044,2118.3890890000002,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,4.3000000005122274e-05
1061045,2118.38912,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,3.099999958067201e-05
1061046,2118.389144,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,2.4000000394153176e-05
1061047,2118.389173,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,2.89999998130952e-05
1061049,2118.421726,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,0.03255300000000716
1061051,2118.422594,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,0.0008680000000822474
1061052,2118.422639,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,4.4999999772699084e-05
1061057,2118.439017,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,0.016378000000258908
1061058,2118.439124,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,0.00010699999984353781
1061059,2118.439165,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,4.099999978279811e-05
1061060,2118.439211,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,4.600000011123484e-05
1061061,2118.439248,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,3.700000024764449e-05
1061062,2118.439295,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,4.6999999995023245e-05
1061063,2118.4393370000007,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,4.200000057608122e-05
1061065,2118.441613,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,0.0022759999992558733
1061066,2118.441672,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,5.899999996472616e-05
1061071,2118.442379,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,0.0007070000001476728
1061072,2118.442419,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,3.999999989900971e-05
1061073,2118.442454,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,3.500000002532033e-05
1061074,2118.442494000001,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,4.000000080850441e-05
1061075,2118.442541,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,4.699999908552854e-05
1061076,2118.4425929999998,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,5.199999986871262e-05
1061077,2118.79897,192.168.0.2,185.38.14.224,UDP,145,12236  >  6881 Len=103,0.3563770000000659
1061078,2118.8004,192.168.0.2,17.248.137.245,TLSv1,1259,Application Data,0.0014300000002549496
1061079,2118.800466,192.168.0.2,17.248.137.245,TLSv1,427,Application Data,6.60000000607397e-05
1061081,2118.8502,192.168.0.2,113.193.151.171,GVSP,1468,Unknown Format (0x1e) [Block ID: 3230933876205470544 Packet ID: -1400798617] [BLOCK_DROPPED] [PACKET_RESEND] Unknown Payload Type (0xf5a) ,0.049733999999716616
1061082,2118.85026,192.168.0.2,113.193.151.171,GVSP,1468,Unknown Format (0x1e) [Block ID: 3230933876205470544 Packet ID: -1400733081] [BLOCK_DROPPED] [PACKET_RESEND] Unknown Payload Type (0x3d71) ,6.000000030326191e-05
1061085,2118.850487,192.168.0.2,113.193.151.171,GVSP,1468,Unknown Format (0x1e) [Block ID: 3230926291293225808 Packet ID: -1400667545] [BLOCK_DROPPED] [PACKET_RESEND] Unknown Payload Type (0x2f60) ,0.00022699999999531428
1061086,2118.850545,192.168.0.2,113.193.151.171,GVSP,1468,Unknown Format (0x1e) [Block ID: 3230926291293225808 Packet ID: -1400602009] [BLOCK_DROPPED] [PACKET_RESEND] Unknown Payload Type (0xf12) ,5.79999996261904e-05
1061107,2118.910476,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,0.059931000000233325
1061108,2118.91053,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,5.400000009103678e-05
1061109,2118.9105640000002,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,3.400000014153193e-05
1061110,2118.910602,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,3.799999967668555e-05
1061111,2118.910645,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,4.3000000005122274e-05
1061112,2118.910692000001,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,4.700000090451795e-05
1061113,2118.9107289999997,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,3.699999888340244e-05
1061114,2118.910779,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,5.000000010113581e-05
1061115,2118.910817,192.168.0.2,178.48.53.33,UDP,1468,12236  >  8999 Len=1426,3.80000001314329e-05
