No.,Time,Source,Destination,Protocol,Length,Info,TBP
487486,1228.6087699999996,192.168.0.2,200.147.166.107,TCP,54,3895  >  443 [ACK] Seq=200 Ack=3911 Win=17408 Len=0,0.0
487487,1228.610985,192.168.0.2,200.147.166.107,TLSv1.2,180,"Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request",0.002215000000433065
487489,1228.615308,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x69) [Block ID: 63020 Packet ID: 7409723] Unknown Payload Type (0x39c0) ,0.004322999999885724
487491,1228.616644,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x69) [Block ID: 63020 Packet ID: 7411057] Unknown Payload Type (0x3e3d) ,0.0013360000000375294
487493,1228.61695,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x69) [Block ID: 63020 Packet ID: 7411379] Unknown Payload Type (0x3e71) ,0.00030600000013691897
487497,1228.625383,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x69) [Block ID: 63020 Packet ID: 7419790] Unknown Payload Type (0x52d) ,0.00843299999996816
487499,1228.625596,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x69) [Block ID: 63020 Packet ID: 7420030] Unknown Payload Type (0x27f0) ,0.00021300000003066089
487503,1228.627452,192.168.0.2,200.147.166.107,TCP,66,[TCP Dup ACK 487486#1] 3895  >  443 [ACK] Seq=326 Ack=3911 Win=17408 Len=0 SLE=4169 SRE=4238,0.001855999999861524
487504,1228.627487,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x69) [Block ID: 63020 Packet ID: 7421915] Unknown Payload Type (0x2e39) ,3.500000002532033e-05
487505,1228.6275369999996,192.168.0.2,188.49.129.56,GVSP,1468,Unknown Format (0x69) [Block ID: 63020 Packet ID: 7421974] Unknown Payload Type (0x2dc1) ,4.999999964638846e-05
