No.,Time,Source,Destination,Protocol,Length,TBP,Info
23257,55.235728,192.168.0.1,192.168.0.2,TCP,74,0.0,45132  >  2869 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=7982395 TSecr=0 WS=16
23258,55.235730000000004,192.168.0.1,192.168.0.2,TCP,74,2e-06,45133  >  2869 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=7982395 TSecr=0 WS=16
23263,55.306157999999996,192.168.0.1,192.168.0.2,TCP,66,0.07042799999999001,45132  >  2869 [ACK] Seq=1 Ack=1 Win=5840 Len=0 TSval=7982402 TSecr=37443872
23264,55.306557999999995,192.168.0.1,192.168.0.2,TCP,66,0.0004,45133  >  2869 [ACK] Seq=1 Ack=1 Win=5840 Len=0 TSval=7982402 TSecr=37443872
23266,56.475931,192.168.0.1,192.168.0.2,HTTP/XML,781,1.16937300000001,NOTIFY /upnp/eventing/puymhqhlnq HTTP/1.1 
23268,56.532393000000006,192.168.0.1,192.168.0.2,TCP,66,0.056462,45132  >  2869 [ACK] Seq=716 Ack=127 Win=5840 Len=0 TSval=7982525 TSecr=37445112
23288,57.736143000000006,192.168.0.1,192.168.0.2,HTTP/XML,781,1.20375,NOTIFY /upnp/eventing/faebffngnu HTTP/1.1 
23289,57.736143000000006,192.168.0.1,192.168.0.2,TCP,66,0.0,"45132  >  2869 [FIN, ACK] Seq=716 Ack=127 Win=5840 Len=0 TSval=7982642 TSecr=37445112"
23297,57.775742,192.168.0.1,192.168.0.2,TCP,66,0.039599,45133  >  2869 [ACK] Seq=716 Ack=127 Win=5840 Len=0 TSval=7982649 TSecr=37446372
23317,58.73425699999999,192.168.0.1,192.168.0.2,TCP,74,0.95851499999999,45134  >  2869 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=7982745 TSecr=0 WS=16
23319,58.734551,192.168.0.1,192.168.0.2,TCP,66,0.00029400000001,"45133  >  2869 [FIN, ACK] Seq=716 Ack=127 Win=5840 Len=0 TSval=7982745 TSecr=37446372"
23321,58.735643,192.168.0.1,192.168.0.2,TCP,66,0.001092,45134  >  2869 [ACK] Seq=1 Ack=1 Win=5840 Len=0 TSval=7982745 TSecr=37447370
25763,59.744673,192.168.0.1,192.168.0.2,HTTP/XML,781,1.00903,NOTIFY /upnp/eventing/puymhqhlnq HTTP/1.1 
25765,59.749145,192.168.0.1,192.168.0.2,TCP,66,0.004472,"45134  >  2869 [FIN, ACK] Seq=716 Ack=127 Win=5840 Len=0 TSval=7982846 TSecr=37448381"
25903,69.031827,192.168.0.1,224.0.0.1,IGMPv3,60,9.28268200000001,"Membership Query, general"
57328,195.048946,192.168.0.1,224.0.0.1,IGMPv3,60,126.017119,"Membership Query, general"
63174,237.37949300000002,192.168.0.1,192.168.0.2,SSDP,344,42.330547,HTTP/1.1 200 OK 
63193,240.374003,192.168.0.1,192.168.0.2,SSDP,344,2.99450999999996,HTTP/1.1 200 OK 
63230,243.3742,192.168.0.1,192.168.0.2,SSDP,344,3.0001970000000093,HTTP/1.1 200 OK 
63266,246.380254,192.168.0.1,192.168.0.2,SSDP,344,3.0060540000000096,HTTP/1.1 200 OK 
63300,249.378558,192.168.0.1,192.168.0.2,SSDP,344,2.9983039999999903,HTTP/1.1 200 OK 
63375,252.378508,192.168.0.1,192.168.0.2,SSDP,344,2.9999500000000094,HTTP/1.1 200 OK 
63925,298.01743799999997,192.168.0.1,192.168.0.2,SSDP,344,45.63893,HTTP/1.1 200 OK 
63959,301.01718999999997,192.168.0.1,192.168.0.2,SSDP,344,2.999752,HTTP/1.1 200 OK 
63988,304.01617200000004,192.168.0.1,192.168.0.2,SSDP,344,2.9989820000000695,HTTP/1.1 200 OK 
64019,307.02215099999995,192.168.0.1,192.168.0.2,SSDP,344,3.00597899999991,HTTP/1.1 200 OK 
64148,310.022901,192.168.0.1,192.168.0.2,SSDP,344,3.00075000000004,HTTP/1.1 200 OK 
64422,313.022441,192.168.0.1,192.168.0.2,SSDP,344,2.99954000000002,HTTP/1.1 200 OK 
65059,320.045362,192.168.0.1,224.0.0.1,IGMPv3,60,7.022921,"Membership Query, general"
130929,445.098041,192.168.0.1,224.0.0.1,IGMPv3,60,125.052679,"Membership Query, general"
183912,570.0515379999999,192.168.0.1,224.0.0.1,IGMPv3,60,124.953497,"Membership Query, general"
215625,631.250392,192.168.0.1,192.168.0.2,TCP,66,61.198854000000104,"5000  >  3155 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1 WS=16"
215628,631.252667,192.168.0.1,192.168.0.2,TCP,60,0.00227499999994,5000  >  3155 [ACK] Seq=1 Ack=238 Win=6912 Len=0
215629,631.2533030000001,192.168.0.1,192.168.0.2,IPA,199,0.0006360000001,unknown 0x54 
215631,631.2534929999999,192.168.0.1,192.168.0.2,TCP,60,0.00018999999986000002,"5000  >  3155 [FIN, ACK] Seq=146 Ack=238 Win=6912 Len=0"
215635,631.255025,192.168.0.1,192.168.0.2,TCP,60,0.00153200000011,5000  >  3155 [ACK] Seq=147 Ack=239 Win=6912 Len=0
215644,631.283604,192.168.0.1,192.168.0.2,TCP,66,0.028578999999919998,"5000  >  3156 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1 WS=16"
215647,631.285885,192.168.0.1,192.168.0.2,TCP,60,0.00228100000004,5000  >  3156 [ACK] Seq=1 Ack=236 Win=6912 Len=0
215648,631.286511,192.168.0.1,192.168.0.2,IPA,199,0.00062600000001,unknown 0x54 
215650,631.286648,192.168.0.1,192.168.0.2,TCP,60,0.000137,"5000  >  3156 [FIN, ACK] Seq=146 Ack=236 Win=6912 Len=0"
215652,631.2876110000001,192.168.0.1,192.168.0.2,TCP,60,0.0009630000000700001,5000  >  3156 [ACK] Seq=147 Ack=237 Win=6912 Len=0
216025,633.080876,192.168.0.1,192.168.0.2,TCP,66,1.79326499999991,"5000  >  3157 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1 WS=16"
216028,633.085397,192.168.0.1,192.168.0.2,TCP,60,0.00452099999995,5000  >  3157 [ACK] Seq=1 Ack=238 Win=6912 Len=0
216029,633.086379,192.168.0.1,192.168.0.2,IPA,199,0.00098200000002,unknown 0x54 
216030,633.086379,192.168.0.1,192.168.0.2,TCP,60,0.0,"5000  >  3157 [FIN, ACK] Seq=146 Ack=238 Win=6912 Len=0"
216035,633.088523,192.168.0.1,192.168.0.2,TCP,60,0.00214400000004,5000  >  3157 [ACK] Seq=147 Ack=239 Win=6912 Len=0
216192,633.706788,192.168.0.1,192.168.0.2,TCP,66,0.6182649999999499,"5000  >  3158 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1 WS=16"
216195,633.709825,192.168.0.1,192.168.0.2,TCP,60,0.00303700000006,5000  >  3158 [ACK] Seq=1 Ack=236 Win=6912 Len=0
216196,633.717506,192.168.0.1,192.168.0.2,IPA,199,0.007680999999930001,unknown 0x54 
216197,633.717506,192.168.0.1,192.168.0.2,TCP,60,0.0,"5000  >  3158 [FIN, ACK] Seq=146 Ack=236 Win=6912 Len=0"
