ClientUsername,ClientIPAddress,ClientMACAddress,AssociationTime,APName,APMACAddress,SessionDuration,AvgSessionThroughputKbps,BytesSent,BytesReceived,DisassociationTime
006077,172.24.1.78,14:a3:64:37:d6:c1,Fri Dec 08 18:50:14 BRST 2017,P01-A01-AP1-Auditorio,78:da:6e:eb:9e:90,5 min 0 sec,0,0,0,Fri Dec 08 18:55:14 BRST 2017
006077,172.24.1.78,14:a3:64:37:d6:c1,Fri Dec 08 12:59:42 BRST 2017,P01-A05-AP1-SMA,78:da:6e:eb:b0:60,5 hrs 50 min 31 sec,7.2,3923403,15023118,Fri Dec 08 18:50:14 BRST 2017
006077,172.24.1.78,14:a3:64:37:d6:c1,Fri Dec 08 11:14:31 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,5 min 0 sec,0,0,0,Fri Dec 08 11:19:32 BRST 2017
006077,172.24.1.78,14:a3:64:37:d6:c1,Fri Dec 08 09:44:18 BRST 2017,P01-A05-AP1-SMA,78:da:6e:eb:b0:60,1 hrs 30 min 12 sec,152.3,3917094,99144438,Fri Dec 08 11:14:31 BRST 2017
006077,172.24.1.78,14:a3:64:37:d6:c1,Fri Dec 08 09:39:18 BRST 2017,P01-A01-AP1-PC,18:9c:5d:44:77:c0,5 min 0 sec,68.4,142684,2426717,Fri Dec 08 09:44:18 BRST 2017
006077,172.24.1.78,14:a3:64:37:d6:c1,Fri Dec 08 09:24:15 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,15 min 2 sec,2.3,121476,141986,Fri Dec 08 09:39:18 BRST 2017
006077,172.24.1.78,14:a3:64:37:d6:c1,Fri Dec 08 08:59:12 BRST 2017,P01-A01-AP1-Auditorio,78:da:6e:eb:9e:90,25 min 3 sec,11.7,194869,1998178,Fri Dec 08 09:24:15 BRST 2017
006077,172.24.1.78,14:a3:64:37:d6:c1,Fri Dec 08 08:49:10 BRST 2017,P01-A01-AP1-Audit-Hall,78:da:6e:eb:b8:80,10 min 1 sec,7.2,126815,413444,Fri Dec 08 08:59:12 BRST 2017
006077,172.24.1.78,14:a3:64:37:d6:c1,Fri Dec 08 07:39:01 BRST 2017,P01-A05-AP1-SMA,78:da:6e:eb:b0:60,1 hrs 10 min 9 sec,60.3,1963833,29751004,Fri Dec 08 08:49:10 BRST 2017
006077,172.23.1.176,d4:6a:6a:ef:ef:a1,Fri Dec 08 07:39:01 BRST 2017,P01-A05-AP1-SMA,78:da:6e:eb:b0:60,11 hrs 6 min 12 sec,95.5,37275924,430185438,Fri Dec 08 18:45:14 BRST 2017
006077,172.24.1.78,14:a3:64:37:d6:c1,Thu Dec 07 17:18:48 BRST 2017,P01-A01-AP1-Auditorio,78:da:6e:eb:9e:90,5 min 0 sec,1.5,15767,22597,Thu Dec 07 17:23:48 BRST 2017
