Grupo;Silhueta;DuracaodaSessao;Velocidademediadenavegacao
C1;0.741234;300.0;0.0
C2;0.691116;105717.0;1.1
C1;0.724227;13828.0;220.5
C1;0.741233;300.0;7.8
C1;0.741368;600.0;0.0
C1;0.73;11114.0;17.3
C1;0.740354;3307.0;7.2
C2;0.643298;62430.0;1.2
C1;0.7412;1804.0;46.5
C1;0.741235;301.0;5.5
C1;0.722682;14431.0;27.2
C1;0.741386;900.0;1.0
C1;0.741234;300.0;0.0
C1;0.708019;18935.0;17.7
C1;0.741234;300.0;0.0
C1;0.741234;300.0;2.7
C1;0.722682;14431.0;26.2
C1;0.741234;300.0;5.2
C1;0.741234;300.0;0.0
C1;0.720972;15028.0;26.4
C1;0.741234;300.0;0.0
C1;0.727659;12326.0;0.9
C1;0.726379;12927.0;7.6
C1;0.73156;10211.0;2.3
C1;0.70915;18627.0;10.5
C1;0.741234;301.0;8.9
C1;0.741368;600.0;0.0
C1;0.739366;4509.0;5.7
C1;0.741235;301.0;6.4
C1;0.682547;24629.0;6.8
C1;0.741234;300.0;5.2
C1;0.741234;300.0;0.0
C1;0.730525;10823.0;6.1
C1;0.741236;301.0;3.9
C1;0.741234;300.0;0.0
C1;0.722682;14431.0;17.5
C1;0.619725;33609.0;1.9
C1;0.741234;300.0;0.0
C1;0.741234;300.0;1.0
C1;0.741073;300.0;206.5
C1;0.722703;14423.0;19.7
C1;0.741213;300.0;39.2
C1;0.741235;301.0;4.6
C1;0.741202;1804.0;3.7
C1;0.740743;2706.0;2.3
C1;0.741233;300.0;8.3
C1;0.741235;301.0;0.0
C1;0.727026;12628.0;16.8
C1;0.741234;300.0;0.0
C1;0.738782;5100.0;2.2
C1;0.728309;12001.0;11.3
C1;0.740136;3600.0;10.2
C1;0.74123;301.0;14.8
C1;0.720095;15322.0;0.0
C1;0.74123;301.0;16.2
C1;0.741234;300.0;6.1
C1;0.741074;2104.0;9.1
C1;0.741354;1202.0;14.2
C1;0.727655;12328.0;17.8
C1;0.741234;300.0;0.0
C1;0.726421;12908.0;59.9
C1;0.741386;902.0;5.4
C1;0.741234;300.0;3.4
C1;0.741368;601.0;0.3
C1;0.737663;6013.0;13.4
C1;0.741368;903.0;112.2
C1;0.741295;1503.0;27.7
C1;0.739078;4809.0;55.8
C1;0.741233;300.0;7.5
C2;0.605941;56410.0;1.5
C1;0.715438;16802.0;1.6
C1;0.738435;5401.0;1.5
C1;0.722759;14402.0;17.0
C1;0.734813;8101.0;1.5
C1;0.741234;300.0;1.3
C1;0.741234;300.0;0.0
C1;0.741234;300.0;5.1
C1;0.708037;18930.0;1.5
C1;0.703351;20131.0;9.8
C1;0.741235;301.0;0.0
C1;0.725016;13518.0;11.6
C1;0.741368;601.0;0.0
C1;0.740743;2705.0;10.1
C1;0.72498;13533.0;10.0
C1;0.741236;301.0;4.0
C2;0.693439;102711.0;4.2
C1;0.739365;4510.0;5.4
C1;0.741125;301.0;149.5
C1;0.741234;300.0;0.0
C1;0.724992;13528.0;13.6
C1;0.724994;13527.0;1.8
C1;0.741296;1502.0;0.9
C1;0.741202;1802.0;11.7
C1;0.741234;300.0;0.0
C1;0.738775;5104.0;57.1
C1;0.738424;5410.0;26.4
C1;0.731058;10513.0;0.7
C1;0.741368;602.0;2.4
C1;0.741236;301.0;3.9
C1;0.741386;903.0;0.8
C1;0.741234;300.0;1.2
C1;0.741367;601.0;14.1
C1;0.741226;301.0;22.4
C1;0.741368;602.0;0.8
C1;0.741354;1203.0;0.8
C1;0.740129;3608.0;20.1
C1;0.741232;301.0;12.3
C1;0.740354;3307.0;0.7
C1;0.740354;3307.0;0.8
C1;0.741234;300.0;0.5
C1;0.741366;601.0;19.4
C1;0.740918;2404.0;0.7
C1;0.741355;1202.0;0.9
C1;0.741074;2104.0;10.1
C1;0.729419;11426.0;0.7
C1;0.741074;2104.0;0.8
C1;0.726375;12929.0;23.7
C1;0.741233;300.0;8.0
C1;0.741234;300.0;0.0
C1;0.741386;902.0;7.9
C1;0.738769;5112.0;6.4
C1;0.741224;300.0;23.3
C1;0.741234;300.0;0.0
C1;0.741235;300.0;2.2
C1;0.730523;10824.0;1.9
C1;0.741367;601.0;13.5
C1;0.741368;600.0;0.0
C1;0.741368;602.0;3.9
C1;0.741234;300.0;0.0
C1;0.739077;4811.0;6.9
C1;0.741368;600.0;3.8
C1;0.740135;3601.0;0.7
C1;0.738777;5104.0;0.8
C1;0.695689;21928.0;29.3
C1;0.741236;301.0;2.8
C1;0.721845;14727.0;0.6
C1;0.741235;301.0;0.5
C1;0.741234;300.0;0.8
C1;0.741234;300.0;0.0
C1;0.741235;300.0;1.7
C1;0.740918;2404.0;9.1
C1;0.741202;1803.0;2.4
C1;0.741295;1504.0;0.6
C1;0.741368;601.0;1.1
C1;0.73298;9321.0;20.1
C1;0.73842;5414.0;0.6
C1;0.739365;4510.0;2.1
C1;0.741234;300.0;0.4
C1;0.735646;7516.0;23.2
C1;0.741296;1503.0;0.7
C1;0.741236;301.0;1.4
C1;0.741386;902.0;6.1
