ClientUsername,ClientIPAddress,ClientMACAddress,AssociationTime,APName,APMACAddress,SessionDuration,AvgSessionThroughputKbps,BytesSent,BytesReceived,DisassociationTime,TotalTime,Clusters
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 17:59:58 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,5 min 0 sec,0.2,1784,5512,Wed Nov 29 18:04:58 BRST 2017,300.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 17:54:58 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,5 min 0 sec,0,0,0,Wed Nov 29 17:59:58 BRST 2017,300.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 17:19:57 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,30 min 0 sec,187.6,985841,27112711,Wed Nov 29 17:49:57 BRST 2017,1800.0,1
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 16:44:55 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,5 min 0 sec,0,0,0,Wed Nov 29 16:49:55 BRST 2017,300.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 16:34:55 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,5 min 0 sec,1.1,24019,19092,Wed Nov 29 16:39:55 BRST 2017,300.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 16:29:55 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,5 min 0 sec,0.3,5068,7753,Wed Nov 29 16:34:55 BRST 2017,300.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 16:19:54 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,10 min 0 sec,0.2,7146,8277,Wed Nov 29 16:29:55 BRST 2017,601.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 16:14:54 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,5 min 0 sec,0,0,0,Wed Nov 29 16:19:54 BRST 2017,300.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 16:09:53 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,5 min 0 sec,0,1508,0,Wed Nov 29 16:14:54 BRST 2017,301.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 15:59:53 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,10 min 0 sec,0,1834,2829,Wed Nov 29 16:09:53 BRST 2017,600.0,0
