ClientUsername,ClientIPAddress,ClientMACAddress,AssociationTime,APName,APMACAddress,SessionDuration,AvgSessionThroughputKbps,BytesSent,BytesReceived,DisassociationTime,TotalTime,Clusters
6124,172.24.0.41,d4:63:c6:eb:85:60,Fri Dec 08 16:25:08 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,5 min 0 sec,0,0,0,Fri Dec 08 16:30:08 BRST 2017,300.0,0
6124,172.24.0.41,d4:63:c6:eb:85:60,Fri Dec 08 12:59:42 BRST 2017,P05-TER-AP1-ELT,18:9c:5d:44:6d:90,3 hrs 25 min 25 sec,4.7,724677,6564346,Fri Dec 08 16:25:08 BRST 2017,12326.0,1
6124,172.24.0.41,d4:63:c6:eb:85:60,Fri Dec 08 09:39:18 BRST 2017,P05-TER-AP1-ELT,18:9c:5d:44:6d:90,55 min 7 sec,0,0,0,Fri Dec 08 10:34:25 BRST 2017,3307.0,0
6124,172.24.0.41,d4:63:c6:eb:85:60,Fri Dec 08 09:29:16 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,5 min 0 sec,0,0,0,Fri Dec 08 09:34:16 BRST 2017,300.0,0
6124,172.24.0.41,d4:63:c6:eb:85:60,Fri Dec 08 07:18:59 BRST 2017,P05-TER-AP1-ELT,18:9c:5d:44:6d:90,2 hrs 10 min 17 sec,1.9,381939,1468230,Fri Dec 08 09:29:16 BRST 2017,7817.0,1
6124,172.24.0.41,d4:63:c6:eb:85:60,Thu Dec 07 15:18:39 BRST 2017,P01-A01-AP1-Audit-Hall,78:da:6e:eb:b8:80,5 min 0 sec,0.4,4038,5106,Thu Dec 07 15:23:39 BRST 2017,300.0,1
6124,172.24.0.41,d4:63:c6:eb:85:60,Thu Dec 07 13:08:22 BRST 2017,P05-TER-AP1-ELT,18:9c:5d:44:6d:90,2 hrs 10 min 17 sec,9.8,969504,8568489,Thu Dec 07 15:18:39 BRST 2017,7817.0,1
6124,172.24.0.41,d4:63:c6:eb:85:60,Thu Dec 07 10:33:06 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,15 min 1 sec,0,0,0,Thu Dec 07 10:48:07 BRST 2017,901.0,0
6124,172.24.0.41,d4:63:c6:eb:85:60,Thu Dec 07 10:23:04 BRST 2017,P01-A01-AP1-Auditorio,78:da:6e:eb:9e:90,10 min 1 sec,2.2,103384,64204,Thu Dec 07 10:33:06 BRST 2017,602.0,1
6124,172.24.0.41,d4:63:c6:eb:85:60,Thu Dec 07 10:13:03 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,10 min 1 sec,0,0,0,Thu Dec 07 10:23:04 BRST 2017,601.0,0
6124,172.24.0.41,d4:63:c6:eb:85:60,Thu Dec 07 09:58:01 BRST 2017,P05-TER-AP1-ELT,18:9c:5d:44:6d:90,10 min 0 sec,0,0,0,Thu Dec 07 10:08:02 BRST 2017,601.0,0
6124,172.24.0.41,d4:63:c6:eb:85:60,Thu Dec 07 07:47:43 BRST 2017,P05-TER-AP1-ELT,18:9c:5d:44:6d:90,1 hrs 50 min 14 sec,3.1,960017,1551650,Thu Dec 07 09:37:57 BRST 2017,6614.0,1
6124,172.24.0.41,d4:63:c6:eb:85:60,Thu Dec 07 07:42:43 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,5 min 0 sec,1.1,17517,24889,Thu Dec 07 07:47:43 BRST 2017,300.0,1
6124,172.24.0.41,d4:63:c6:eb:85:60,Wed Dec 06 16:22:25 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,5 min 0 sec,0,0,0,Wed Dec 06 16:27:25 BRST 2017,300.0,0
6124,172.24.0.41,d4:63:c6:eb:85:60,Wed Dec 06 15:07:18 BRST 2017,P05-TER-AP1-ELT,18:9c:5d:44:6d:90,1 hrs 15 min 7 sec,2.2,267207,977755,Wed Dec 06 16:22:25 BRST 2017,4507.0,1
6124,172.24.0.41,d4:63:c6:eb:85:60,Wed Dec 06 13:37:06 BRST 2017,P05-TER-AP1-ELT,18:9c:5d:44:6d:90,1 hrs 20 min 9 sec,0.2,29506,72322,Wed Dec 06 14:57:16 BRST 2017,4810.0,1
6124,172.24.0.41,d4:63:c6:eb:85:60,Wed Dec 06 13:27:05 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,5 min 0 sec,0,0,0,Wed Dec 06 13:32:05 BRST 2017,300.0,0
6124,172.24.0.41,d4:63:c6:eb:85:60,Wed Dec 06 12:06:56 BRST 2017,P05-TER-AP1-ELT,18:9c:5d:44:6d:90,1 hrs 20 min 8 sec,1.1,207865,478248,Wed Dec 06 13:27:05 BRST 2017,4809.0,1
6124,172.24.0.41,d4:63:c6:eb:85:60,Wed Dec 06 12:01:55 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,5 min 0 sec,1.0,37163,0,Wed Dec 06 12:06:56 BRST 2017,301.0,0
6124,172.24.0.41,d4:63:c6:eb:85:60,Wed Dec 06 10:31:46 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,5 min 0 sec,0,0,0,Wed Dec 06 10:36:46 BRST 2017,300.0,0
6124,172.24.0.41,d4:63:c6:eb:85:60,Wed Dec 06 09:56:41 BRST 2017,P05-TER-AP1-ELT,18:9c:5d:44:6d:90,35 min 4 sec,2.0,120704,411075,Wed Dec 06 10:31:46 BRST 2017,2105.0,1
6124,172.24.0.41,d4:63:c6:eb:85:60,Wed Dec 06 09:51:40 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,5 min 0 sec,1.8,22199,43598,Wed Dec 06 09:56:41 BRST 2017,301.0,1
6124,172.24.0.41,d4:63:c6:eb:85:60,Wed Dec 06 09:46:39 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,5 min 0 sec,1.1,12564,27733,Wed Dec 06 09:51:40 BRST 2017,301.0,1
6124,172.24.0.41,d4:63:c6:eb:85:60,Wed Dec 06 07:36:23 BRST 2017,P05-TER-AP1-ELT,18:9c:5d:44:6d:90,2 hrs 10 min 16 sec,3.3,1430019,1811809,Wed Dec 06 09:46:39 BRST 2017,7816.0,1
6124,172.24.0.41,d4:63:c6:eb:85:60,Wed Dec 06 07:31:22 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,5 min 0 sec,4.7,74564,101883,Wed Dec 06 07:36:23 BRST 2017,301.0,1
6124,172.24.0.41,d4:63:c6:eb:85:60,Tue Dec 05 14:50:57 BRST 2017,P05-TER-AP1-ELT,18:9c:5d:44:6d:90,1 hrs 50 min 9 sec,66.9,2215269,49298865,Tue Dec 05 16:41:07 BRST 2017,6610.0,1
6124,172.24.0.41,d4:63:c6:eb:85:60,Tue Dec 05 14:40:56 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,5 min 0 sec,0,0,0,Tue Dec 05 14:45:56 BRST 2017,300.0,0
6124,172.24.0.41,d4:63:c6:eb:85:60,Tue Dec 05 13:25:46 BRST 2017,P05-TER-AP1-ELT,18:9c:5d:44:6d:90,1 hrs 15 min 10 sec,24.5,940681,12873941,Tue Dec 05 14:40:56 BRST 2017,4510.0,1
6124,172.24.0.41,d4:63:c6:eb:85:60,Tue Dec 05 13:20:45 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,5 min 0 sec,1.0,13459,25646,Tue Dec 05 13:25:46 BRST 2017,301.0,1
6124,172.24.0.41,d4:63:c6:eb:85:60,Mon Dec 04 16:19:41 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,5 min 0 sec,0,0,0,Mon Dec 04 16:24:41 BRST 2017,300.0,0
6124,172.24.0.41,d4:63:c6:eb:85:60,Mon Dec 04 14:04:25 BRST 2017,P05-TER-AP1-ELT,18:9c:5d:44:6d:90,2 hrs 15 min 15 sec,1.3,278364,995437,Mon Dec 04 16:19:41 BRST 2017,8116.0,1
6124,172.24.0.41,d4:63:c6:eb:85:60,Mon Dec 04 13:59:25 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,5 min 0 sec,7.9,109381,186309,Mon Dec 04 14:04:25 BRST 2017,300.0,1
6124,172.24.0.41,d4:63:c6:eb:85:60,Mon Dec 04 11:34:08 BRST 2017,P05-TER-AP1-ELT,18:9c:5d:44:6d:90,2 hrs 25 min 16 sec,2.5,559136,2163150,Mon Dec 04 13:59:25 BRST 2017,8717.0,1
6124,172.24.0.41,d4:63:c6:eb:85:60,Mon Dec 04 10:39:02 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,5 min 0 sec,0,0,0,Mon Dec 04 10:44:02 BRST 2017,300.0,0
6124,172.24.0.41,d4:63:c6:eb:85:60,Mon Dec 04 10:29:00 BRST 2017,P05-TER-AP1-ELT,18:9c:5d:44:6d:90,10 min 1 sec,2.5,28559,161821,Mon Dec 04 10:39:02 BRST 2017,602.0,1
6124,172.24.0.41,d4:63:c6:eb:85:60,Fri Dec 01 15:12:26 BRST 2017,P05-TER-AP1-ELT,18:9c:5d:44:6d:90,2 hrs 10 min 9 sec,4.3,892984,3020326,Fri Dec 01 17:22:35 BRST 2017,7809.0,1
6124,172.24.0.41,d4:63:c6:eb:85:60,Fri Dec 01 15:02:24 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,10 min 1 sec,1.2,33494,55136,Fri Dec 01 15:12:26 BRST 2017,602.0,1
6124,172.24.0.41,d4:63:c6:eb:85:60,Fri Dec 01 14:47:22 BRST 2017,P01-A01-AP1-Audit-Hall,78:da:6e:eb:b8:80,15 min 2 sec,1.1,78544,50183,Fri Dec 01 15:02:24 BRST 2017,902.0,1
6124,172.24.0.41,d4:63:c6:eb:85:60,Fri Dec 01 13:02:08 BRST 2017,P01-A01-AP1-Auditorio,78:da:6e:eb:9e:90,1 hrs 45 min 13 sec,45.3,2112545,33613903,Fri Dec 01 14:47:22 BRST 2017,6314.0,1
6124,172.24.0.41,d4:63:c6:eb:85:60,Fri Dec 01 12:57:07 BRST 2017,P01-A01-AP1-Audit-Hall,78:da:6e:eb:b8:80,5 min 0 sec,5.2,53679,141754,Fri Dec 01 13:02:08 BRST 2017,301.0,1
