Grupo;Silhueta;DuracaodaSessao;Velocidademediadenavegacao
C1;0.657822;1202.0;1.2
C5;0.744476;601.0;0.6
C7;0.746217;301.0;1.2
C5;0.744077;601.0;2.3
C7;0.745772;301.0;2.0
C5;0.744496;601.0;0.0
C7;0.746418;301.0;0.0
C7;0.746271;300.0;1.3
C7;0.745794;300.0;2.1
C7;0.746717;300.0;0.0
C7;0.745794;300.0;2.1
C13;0.73504;900.0;0.6
C1;0.672374;1501.0;1.0
C5;0.744404;601.0;1.1
C11;0.680695;2102.0;33.2
C11;0.671694;1802.0;0.0
C1;0.671515;1503.0;0.0
C13;0.69015;902.0;96.0
C7;0.746717;300.0;0.0
C5;0.730616;602.0;33.6
C7;0.74607;301.0;1.5
C7;0.746717;300.0;0.0
C5;0.73807;602.0;17.3
C7;0.746694;300.0;0.2
C12;0.68631;3909.0;13.3
C7;0.746418;301.0;0.0
C7;0.746717;300.0;0.0
C11;0.672258;1803.0;0.5
C8;0.732799;7816.0;6.4
C5;0.744245;602.0;0.0
C13;0.735382;902.0;0.0
C5;0.744496;601.0;0.0
C7;0.746418;301.0;0.0
C7;0.6142;300.0;64.5
C7;0.746717;300.0;0.0
C5;0.7445;601.0;0.3
C11;0.672734;1804.0;1.0
C7;0.681198;300.0;44.8
C6;0.720667;5112.0;2.4
C1;0.658408;1203.0;1.1
C5;0.744245;602.0;0.0
C1;0.626117;1202.0;78.1
C5;0.744288;602.0;0.7
C1;0.657921;1202.0;0.0
C5;0.605119;602.0;210.6
C12;0.69656;4206.0;27.3
C11;0.671748;1802.0;0.5
C5;0.744496;601.0;0.0
C7;0.746669;300.0;0.3
C7;0.746717;300.0;0.0
C7;0.746717;300.0;0.0
C7;0.746694;300.0;0.2
C7;0.739452;301.0;9.3
C1;0.655937;1200.0;0.0
C2;0.69253;3303.0;0.0
C2;0.706719;3005.0;4.0
C7;0.746395;301.0;0.7
C2;0.691639;3306.0;0.0
C7;0.746717;300.0;0.0
C7;0.746717;300.0;0.0
C1;0.671002;1504.0;0.7
C7;0.739159;300.0;9.6
C7;0.746299;301.0;1.0
C13;0.735032;902.0;3.0
C7;0.746717;300.0;0.0
C2;0.706869;3005.0;2.0
C8;0.705068;7516.0;24.4
C11;0.685845;2104.0;0.0
