Grupo;Silhueta;DuracaodaSessao;Velocidademediadenavegacao
C5;0.739765;300.0;0.0
C5;0.73769;301.0;0.0
C4;0.695166;301.0;121.4
C8;0.725026;301.0;288.4
C3;0.606139;300.0;14.7
C14;0.744947;602.0;0.0
C14;0.648749;601.0;63.0
C11;0.745286;1504.0;0.0
C12;0.701194;1203.0;87.3
C12;0.73065;1202.0;35.3
C5;0.736088;301.0;1.0
C5;0.73769;301.0;0.0
C5;0.711825;300.0;4.1
C5;0.728309;301.0;2.4
C14;0.74529;601.0;0.0
C5;0.739765;300.0;0.0
C5;0.733364;300.0;1.7
C3;0.648353;301.0;34.7
C5;0.739765;300.0;0.0
C12;0.745008;1203.0;0.5
C2;0.738251;901.0;17.0
C5;0.739765;300.0;0.0
C5;0.732754;300.0;1.8
C2;0.743099;902.0;6.6
C5;0.73769;301.0;0.0
C5;0.739765;300.0;0.0
C2;0.744414;903.0;0.4
C14;0.744947;602.0;0.0
C12;0.745036;1202.0;0.8
C5;0.71635;301.0;3.7
C13;0.66447;2105.0;78.9
C5;0.73769;301.0;0.0
C14;0.743087;601.0;5.1
C5;0.73769;301.0;0.0
C5;0.702402;301.0;4.8
C5;0.739546;300.0;0.2
C5;0.739765;300.0;0.0
C5;0.739687;300.0;0.1
C5;0.641538;300.0;7.7
C2;0.744649;901.0;0.0
C5;0.73769;301.0;0.0
C14;0.745056;600.0;0.0
C5;0.73773;301.0;0.3
C13;0.580432;1802.0;4.6
C14;0.74494;601.0;1.6
C5;0.73769;301.0;0.0
C6;0.713368;3907.0;24.6
C5;0.737764;301.0;0.1
C2;0.744604;902.0;0.0
C5;0.73769;301.0;0.0
C13;0.58155;1804.0;10.5
C14;0.744947;602.0;0.0
C5;0.739765;300.0;0.0
C14;0.736189;602.0;14.1
C5;0.736962;300.0;1.0
C5;0.591634;301.0;9.1
C1;0.693378;601.0;164.2
C14;0.74296;605.0;0.0
C11;0.745332;1502.0;0.0
C5;0.73769;301.0;0.0
C13;0.580302;1802.0;1.0
C14;0.745056;600.0;0.0
C1;0.674924;602.0;149.2
C5;0.739765;300.0;0.0
C5;0.721556;301.0;3.2
C14;0.74529;601.0;0.0
C14;0.74491;602.0;1.0
C12;0.744969;1203.0;0.0
C14;0.74529;601.0;0.0
C14;0.745202;601.0;0.9
C2;0.743124;906.0;0.0
C13;0.587424;2405.0;0.4
C5;0.739765;300.0;0.0
C9;0.733017;3002.0;16.5
C2;0.744649;901.0;0.0
C13;0.588707;2403.0;14.8
C3;0.610432;300.0;14.9
C9;0.734425;3006.0;1.3
C11;0.745286;1504.0;0.0
C5;0.739765;300.0;0.0
C6;0.593992;3608.0;5.6
C5;0.739765;300.0;0.0
C13;0.58129;1803.0;0.0
C5;0.739765;300.0;0.0
C14;0.739875;601.0;9.9
C9;0.734402;3007.0;0.0
C8;0.720395;300.0;262.8
C5;0.675652;302.0;6.2
C5;0.739765;300.0;0.0
C4;0.684871;300.0;147.5
C2;0.728853;930.0;0.0
C4;0.696188;301.0;133.1
C12;0.74501;1202.0;0.0
C5;0.73769;301.0;0.0
C5;0.739765;300.0;0.0
C5;0.739354;300.0;0.3
C5;0.739765;300.0;0.0
C10;0.708427;4811.0;4.1
C5;0.739765;300.0;0.0
C13;0.670503;2105.0;5.4
C14;0.74529;601.0;0.0
C7;0.501343;5413.0;8.5
C5;0.73769;301.0;0.0
C14;0.745202;601.0;0.9
C5;0.716245;304.0;0.2
C13;0.581534;1803.0;5.9
C9;0.651723;2708.0;1.1
C5;0.739765;300.0;0.0
C5;0.739765;300.0;0.0
C5;0.739765;300.0;0.0
C5;0.739546;300.0;0.2
C13;0.578767;1801.0;0.6
C2;0.744416;900.0;0.6
C5;0.739765;300.0;0.0
C10;0.708616;4812.0;1.2
C5;0.72251;301.0;3.1
C12;0.745008;1202.0;1.0
C12;0.744805;1202.0;1.8
C5;0.739765;300.0;0.0
C14;0.74529;601.0;0.0
C13;0.578653;1803.0;14.8
C11;0.744669;1506.0;0.0
C2;0.744649;901.0;0.0
C2;0.744604;902.0;0.0
C5;0.739765;300.0;0.0
C3;0.652405;301.0;33.0
C5;0.739687;300.0;0.1
C9;0.73374;3014.0;3.2
C12;0.74501;1202.0;0.0
C13;0.670349;2111.0;0.0
C12;0.745014;1203.0;0.3
C5;0.739687;300.0;0.1
C14;0.744947;602.0;0.0
C5;0.737376;300.0;0.9
C5;0.73725;301.0;0.6
C12;0.744706;1201.0;0.0
C5;0.739765;300.0;0.0
C5;0.739765;300.0;0.0
C2;0.744049;903.0;3.4
C5;0.71304;300.0;4.0
C2;0.744609;901.0;1.4
C6;0.669264;4209.0;0.2
C5;0.73769;301.0;0.0
C14;0.74529;601.0;0.0
C6;0.668569;4211.0;26.3
C5;0.725322;300.0;2.8
C5;0.73769;301.0;0.0
C5;0.739765;300.0;0.0
C5;0.736962;300.0;1.0
C6;0.712899;3902.0;25.4
C5;0.699443;301.0;5.0
C5;0.739765;300.0;0.0
C14;0.743833;600.0;3.6
C5;0.73769;301.0;0.0
C14;0.74529;601.0;0.0
C9;0.734349;3005.0;0.0
C9;0.734373;3008.0;0.4
C5;0.739765;300.0;0.0
C5;0.73769;301.0;0.0
C5;0.73773;301.0;0.3
C12;0.745014;1203.0;0.3
C14;0.745225;601.0;0.8
C12;0.736854;1203.0;22.3
C5;0.739765;300.0;0.0
C5;0.737783;301.0;0.2
C5;0.738792;300.0;0.5
C5;0.73287;301.0;1.7
C11;0.737791;1503.0;18.8
C12;0.74501;1202.0;0.0
C5;0.739765;300.0;0.0
C10;0.68345;5112.0;30.7
C5;0.739765;300.0;0.0
C5;0.739765;300.0;0.0
C14;0.74529;601.0;0.0
C5;0.739765;300.0;0.0
C4;0.440337;301.0;67.0
C5;0.739765;300.0;0.0
C2;0.744649;901.0;0.0
C5;0.739765;300.0;0.0
C2;0.744649;901.0;0.0
C14;0.740534;601.0;9.0
C5;0.737783;301.0;0.2
C2;0.744604;902.0;0.0
C2;0.744643;902.0;1.3
C5;0.730414;301.0;2.1
C5;0.73769;301.0;0.0
C12;0.744969;1203.0;0.0
C14;0.739002;601.0;11.0
C3;0.428718;301.0;10.5
C5;0.73769;301.0;0.0
C14;0.737552;600.0;12.6
C14;0.745056;600.0;0.0
C12;0.744969;1203.0;0.0
C5;0.733407;301.0;1.6
C7;0.603026;6311.0;0.4
C5;0.73769;301.0;0.0
C11;0.744987;1501.0;1.7
C14;0.734057;600.0;16.2
C5;0.739765;300.0;0.0
C5;0.660446;300.0;7.0
C14;0.745056;600.0;0.0
C6;0.712271;3903.0;3.0
C2;0.634921;901.0;168.3
C1;0.678659;601.0;247.2
C5;0.739354;300.0;0.3
C14;0.74529;601.0;0.0
C7;0.500393;5412.0;2.0
C2;0.744649;901.0;0.0
C2;0.744643;902.0;1.3
C14;0.74529;601.0;0.0
C5;0.736088;301.0;1.0
C14;0.74529;601.0;0.0
C5;0.725982;301.0;2.7
C5;0.739765;300.0;0.0
C12;0.745048;1202.0;0.3
C5;0.732298;301.0;1.8
C11;0.74537;1503.0;0.0
C14;0.744947;602.0;0.0
C13;0.58129;1803.0;0.0
C5;0.723423;301.0;3.0
C2;0.744353;903.0;0.0
C2;0.741739;902.0;9.9
C5;0.739765;300.0;0.0
C5;0.686057;300.0;5.8
C5;0.732109;300.0;1.9
C2;0.744365;900.0;0.0
C5;0.739354;300.0;0.3
C13;0.590485;2401.0;0.5
C2;0.742384;900.0;8.0
C14;0.745056;600.0;0.0
C2;0.744354;901.0;2.6
C5;0.739354;300.0;0.3
C11;0.745159;1501.0;0.0
C9;0.64473;3300.0;1.2
C3;0.630563;300.0;16.7
C5;0.678315;301.0;6.2
C5;0.739765;300.0;0.0
C14;0.745056;600.0;0.0
C11;0.745159;1501.0;0.0
C5;0.739765;300.0;0.0
C2;0.744365;900.0;0.0
C5;0.739765;300.0;0.0
C14;0.745055;600.0;0.4
C5;0.711085;304.0;2.1
C5;0.739765;300.0;0.0
C14;0.745056;600.0;0.0
C5;0.739765;300.0;0.0
C5;0.722645;300.0;3.1
C2;0.744365;900.0;0.0
C5;0.739765;300.0;0.0
C14;0.698109;655.0;0.2
C11;0.74477;1500.0;0.6
C4;0.648153;300.0;94.3
C10;0.687716;5101.0;5.6
C14;0.745056;600.0;0.0
C5;0.739765;300.0;0.0
C5;0.733942;300.0;1.6
C5;0.72169;300.0;3.2
C13;0.670214;2101.0;0.4
C11;0.724351;1555.0;0.4
C2;0.74468;901.0;0.5
C12;0.744285;1200.0;0.0
C14;0.745056;600.0;0.0
C5;0.739765;300.0;0.0
