Silhueta,DuracaodaSessao,Velocidademediadenavegacao
1.0,-0.38987708865111687,-0.19748219549146176
-0.38987708865111687,1.0,-0.031560518654749035
-0.19748219549146176,-0.031560518654749035,1.0
