No.,Time,Source,Destination,Protocol,Length,Info
252169,722.2549019999999,192.168.0.3,224.0.0.251,MDNS,133,"Standard query 0x0000 PTR _tunnel._tcp.local, ""QM"" question PTR _friendly._sub._bp2p._tcp.local, ""QM"" question PTR _invoke._sub._bp2p._tcp.local, ""QM"" question PTR _webdav._sub._bp2p._tcp.local, ""QM"" question"
252170,722.3549730000001,192.168.0.3,224.0.0.251,MDNS,769,"Standard query response 0x0000 PTR 15A3EF863387E478F452BF2CA36213._tunnel._tcp.local PTR Friendly_E5149D14FEFC9907_AEA4A6F69002D1D5._bp2p._tcp.local PTR Invoke_9B865F518BAC54D1_C853AE270B5A7083._bp2p._tcp.local PTR webdav_A85EF83A450985B4_0B369E1013000000._bp2p._tcp.local TXT, cache flush AAAA, cache flush fd15:a3ef:8633:87e4:78f4:52bf:2ca3:6213 SRV, cache flush 0 0 1111 BLACKBERRY-EA2A.local TXT, cache flush SRV, cache flush 0 0 46263 15A3EF863387E478F452BF2CA36213.local TXT, cache flush SRV, cache flush 0 0 16258 15A3EF863387E478F452BF2CA36213.local TXT, cache flush SRV, cache flush 0 0 8080 15A3EF863387E478F452BF2CA36213.local A, cache flush 192.168.0.3 AAAA, cache flush fe80::4a9d:24ff:fe31:a142 NSEC, cache flush 15A3EF863387E478F452BF2CA36213._tunnel._tcp.local NSEC, cache flush 15A3EF863387E478F452BF2CA36213.local NSEC, cache flush Friendly_E5149D14FEFC9907_AEA4A6F69002D1D5._bp2p._tcp.local NSEC, cache flush Invoke_9B865F518BAC54D1_C853AE270B5A7083._bp2p._tcp.local NSEC, cache flush webdav_A85EF83A450985B4_0B369E1013000000._bp2p._tcp.local NSEC, cache flush BLACKBERRY-EA2A.local"
1315305,4322.51056,192.168.0.3,224.0.0.251,MDNS,133,"Standard query 0x0000 PTR _tunnel._tcp.local, ""QM"" question PTR _friendly._sub._bp2p._tcp.local, ""QM"" question PTR _invoke._sub._bp2p._tcp.local, ""QM"" question PTR _webdav._sub._bp2p._tcp.local, ""QM"" question"
1315319,4322.6183009999995,192.168.0.3,224.0.0.251,MDNS,769,"Standard query response 0x0000 PTR 15A3EF863387E478F452BF2CA36213._tunnel._tcp.local PTR Friendly_E5149D14FEFC9907_AEA4A6F69002D1D5._bp2p._tcp.local PTR Invoke_9B865F518BAC54D1_C853AE270B5A7083._bp2p._tcp.local PTR webdav_A85EF83A450985B4_0B369E1013000000._bp2p._tcp.local TXT, cache flush AAAA, cache flush fd15:a3ef:8633:87e4:78f4:52bf:2ca3:6213 SRV, cache flush 0 0 1111 BLACKBERRY-EA2A.local TXT, cache flush SRV, cache flush 0 0 46263 15A3EF863387E478F452BF2CA36213.local TXT, cache flush SRV, cache flush 0 0 16258 15A3EF863387E478F452BF2CA36213.local TXT, cache flush SRV, cache flush 0 0 8080 15A3EF863387E478F452BF2CA36213.local A, cache flush 192.168.0.3 AAAA, cache flush fe80::4a9d:24ff:fe31:a142 NSEC, cache flush 15A3EF863387E478F452BF2CA36213._tunnel._tcp.local NSEC, cache flush 15A3EF863387E478F452BF2CA36213.local NSEC, cache flush Friendly_E5149D14FEFC9907_AEA4A6F69002D1D5._bp2p._tcp.local NSEC, cache flush Invoke_9B865F518BAC54D1_C853AE270B5A7083._bp2p._tcp.local NSEC, cache flush webdav_A85EF83A450985B4_0B369E1013000000._bp2p._tcp.local NSEC, cache flush BLACKBERRY-EA2A.local"
