Length,TBP,Selected,Selected(1),Cluster,Silhouette,Selected(2)
359.0,1.0000001111620804e-06,No,No,C5,0.7332615701303097,No
305.0,0.1996110000000044,No,No,C6,0.7499594732179056,No
314.0,1.0000001111620804e-06,No,No,C3,0.7499908594698139,No
361.0,0.0,No,No,C5,0.7292677651643178,No
369.0,0.0017419999999219724,No,No,C2,0.7312832033588229,No
371.0,1.99999976757681e-06,No,No,C2,0.7316531989805243,No
359.0,0.0,No,No,C5,0.7332615686572082,No
305.0,0.2002460000001065,No,No,C6,0.7499678950533621,No
314.0,0.0,No,No,C3,0.7499908559272562,No
361.0,1.0000003385357559e-06,No,No,C5,0.7292677669934291,No
369.0,0.0,No,No,C2,0.7312910197220241,No
371.0,0.0019239999996898407,No,No,C2,0.7316438848125411,No
359.0,0.0004930000000058499,No,No,C5,0.7332586814805856,No
305.0,0.20591500000023188,No,No,C6,0.7499011775411163,No
314.0,9.99999883788405e-07,No,No,C3,0.7499908594698139,No
361.0,0.0,No,No,C5,0.7292677651643178,No
369.0,0.0015069999999468564,No,No,C2,0.731285062007935,No
371.0,1.0000001111620804e-06,No,No,C2,0.7316531973660192,No
359.0,0.0,No,No,C5,0.7332615686572082,No
54.0,93.59200499999973,No,No,C1,0.7256139894618602,No
54.0,129.74888899999996,No,No,C1,0.7426407522916815,No
54.0,133.09490000000002,No,No,C1,0.7417523593186923,No
54.0,124.37873300000092,No,No,C1,0.7425521819188075,No
54.0,124.71316799999931,No,No,C1,0.7426408313500626,No
54.0,136.57181899999978,No,No,C1,0.7398917583130877,No
305.0,127.3624520000003,No,No,C4,0.5,No
314.0,0.0,No,No,C3,0.7499908559272562,No
361.0,0.0012269999997442935,No,No,C5,0.7292587589556117,No
369.0,0.0,No,No,C2,0.7312910197220241,No
371.0,0.0,No,No,C2,0.7316531957523513,No
359.0,9.99999883788405e-07,No,No,C5,0.7332615701303097,No
305.0,0.2009400000001733,No,No,C6,0.7499671701446929,No
314.0,0.0,No,No,C3,0.7499908559272562,No
361.0,9.99999883788405e-07,No,No,C5,0.7292677669934291,No
369.0,0.0,No,No,C2,0.7312910197220241,No
371.0,0.0,No,No,C2,0.7316531957523513,No
359.0,0.0,No,No,C5,0.7332615686572082,No
305.0,0.20051100000000588,No,No,C6,0.749969066593426,No
314.0,0.0025860000000648147,No,No,C3,0.7499542811771007,No
361.0,0.0,No,No,C5,0.7292677651643178,No
369.0,0.0,No,No,C2,0.7312910197220241,No
