Length,TBP,Selected,Selected(1),Cluster,Silhouette,Selected(2)
1468.0,0.0,No,No,C1,0.749996766451548,No
1468.0,0.000450999999884516,No,No,C1,0.7499965747738138,No
1468.0,4.799999987881165e-05,No,No,C1,0.7499968020558264,No
1468.0,3.599999990910874e-05,No,No,C1,0.7499967973900248,No
1468.0,0.042242999999871245,No,No,C1,0.7499581000680604,No
1468.0,0.015304000000469387,No,No,C1,0.749984039888645,No
1468.0,0.004625000000032742,No,No,C1,0.7499935689797564,No
1468.0,0.00011099999983343878,No,No,C1,0.7499967789037811,No
1468.0,0.00581400000010035,No,No,C1,0.7499925794811043,No
1468.0,7.499999992433004e-05,No,No,C1,0.7499967944516108,No
1468.0,0.0001560000000608852,No,No,C1,0.7499967548030101,No
1468.0,3.999999989900971e-05,No,No,C1,0.7499968041075984,No
1468.0,5.400000009103678e-05,No,No,C1,0.7499968033316049,No
1468.0,2.5999999706982635e-05,No,No,C1,0.7499967974023285,No
1468.0,2.6000000161729986e-05,No,No,C1,0.7499967974023285,No
1468.0,2.500000027794158e-05,No,No,C1,0.7499967958030064,No
1468.0,2.9999999696883606e-05,No,No,C1,0.7499967957774221,No
1468.0,3.100000003541936e-05,No,No,C1,0.7499967975998956,No
1468.0,2.700000004551839e-05,No,No,C1,0.7499967903969611,No
1468.0,3.099999958067201e-05,No,No,C1,0.7499967975998956,No
1468.0,2.4000000394153176e-05,No,No,C1,0.7499967934260358,No
1468.0,3.299999980299617e-05,No,No,C1,0.749996800838,No
1468.0,4.3000000005122274e-05,No,No,C1,0.7499968016809319,No
1468.0,4.600000011123484e-05,No,No,C1,0.7499967980845834,No
1468.0,3.700000024764449e-05,No,No,C1,0.7499967990707261,No
1468.0,0.005306999999902473,No,No,C1,0.7499930064651881,No
1468.0,5.0999999984924216e-05,No,No,C1,0.7499967978679172,No
1468.0,2.9000000722589903e-05,No,No,C1,0.7499967934184295,No
1468.0,4.099999932805076e-05,No,No,C1,0.7499967975010828,No
1468.0,3.199999991920777e-05,No,No,C1,0.7499967995055425,No
1468.0,2.3999999939405825e-05,No,No,C1,0.7499967934260358,No
1468.0,3.100000003541936e-05,No,No,C1,0.7499967975998956,No
1468.0,2.3999999939405825e-05,No,No,C1,0.7499967934260358,No
1468.0,2.7999999929306796e-05,No,No,C1,0.7499967922546674,No
1468.0,2.3999999939405825e-05,No,No,C1,0.7499967934260358,No
1468.0,2.700000004551839e-05,No,No,C1,0.7499967903969611,No
1468.0,0.0027949999998782005,No,No,C1,0.7499949626786777,No
1468.0,6.100000018705032e-05,No,No,C1,0.7499967992535397,No
1468.0,0.00782600000002276,No,No,C1,0.749990847914929,No
1468.0,8.000000025276677e-05,No,No,C1,0.7499967903731499,No
1468.0,3.90000000152213e-05,No,No,C1,0.7499968029936489,No
1468.0,2.7000000500265742e-05,No,No,C1,0.7499967903969611,No
1468.0,2.499999936844688e-05,No,No,C1,0.7499967958030064,No
1468.0,0.003072999999858439,No,No,C1,0.7499947623104788,No
1468.0,0.000183999999990192,No,No,C1,0.7499967385536256,No
1468.0,4.1000000237545464e-05,No,No,C1,0.7499967975010828,No
1468.0,0.004069999999956053,No,No,C1,0.7499940112961915,No
1468.0,7.799999957569526e-05,No,No,C1,0.7499967935347175,No
1468.0,0.004223000000365573,No,No,C1,0.7499938908469361,No
1468.0,5.800000008093775e-05,No,No,C1,0.7499968023611981,No
