Length,TBP,Selected,Selected(1),Cluster,Silhouette,Selected(2)
1468.0,0.0,No,No,C2,0.749943172155728,No
1468.0,4.100000001017179e-05,No,No,C2,0.7499431765573203,No
1468.0,2.999999992425728e-05,No,No,C2,0.7499431756240338,No
1468.0,3.100000003541936e-05,No,No,C2,0.7499431758036254,No
1468.0,2.89999998130952e-05,No,No,C2,0.7499431754301596,No
1468.0,2.800000015668047e-05,No,No,C2,0.749943175301203,No
1468.0,2.7999999929306796e-05,No,No,C2,0.749943175301203,No
1468.0,3.0000000151630957e-05,No,No,C2,0.7499431756240338,No
1468.0,2.7999999474559445e-05,No,No,C2,0.749943175301203,No
1468.0,2.8000000384054147e-05,No,No,C2,0.749943175301203,No
1468.0,2.700000004551839e-05,No,No,C2,0.7499431751345271,No
1468.0,3.500000002532033e-05,No,No,C2,0.749943176012933,No
1468.0,2.5000000050567905e-05,No,No,C2,0.7499431752294633,No
1468.0,3.799999990405922e-05,No,No,C2,0.7499431764770226,No
1468.0,2.700000004551839e-05,No,No,C2,0.7499431751345271,No
1468.0,0.006470000000035725,No,No,C2,0.7499429046589405,No
1468.0,6.79999998283165e-05,No,No,C2,0.7499431787019404,No
1468.0,0.0016410000000632863,No,No,C2,0.7499431956647662,No
1468.0,0.0056849999998576095,No,No,C2,0.7499429640656844,No
1468.0,5.500000020219886e-05,No,No,C2,0.7499431780352516,No
1468.0,0.006706000000349377,No,No,C2,0.7499428862639548,No
1468.0,0.0017659999996340048,No,No,C2,0.7499431916588281,No
1468.0,0.001500999999962005,No,No,C2,0.7499431995780723,No
1468.0,0.0014699999999265856,No,No,C2,0.7499432003495846,No
1468.0,0.0009999999999763531,No,No,C2,0.749943205365881,No
1468.0,0.0008960000002389279,No,No,C2,0.7499432043307801,No
1468.0,0.003272999999808235,No,No,C2,0.7499431222890206,No
1468.0,0.00087100000018836,No,No,C2,0.7499432039575281,No
1468.0,0.0011489999999412248,No,No,C2,0.749943205233206,No
1468.0,0.00026000000002568413,No,No,C2,0.74994318796892,No
1468.0,0.005135999999765772,No,No,C2,0.7499430037663521,No
1468.0,0.0009660000000621949,No,No,C2,0.7499432050915675,No
54.0,0.03571300000021438,No,No,C1,0.743057565436885,No
1468.0,0.06595599999945989,No,No,C2,0.7499365458981252,No
1468.0,5.500000042957254e-05,No,No,C2,0.7499431780352516,No
1468.0,4.399999988891068e-05,No,No,C2,0.7499431770474195,No
1468.0,2.9000000040468876e-05,No,No,C2,0.7499431754301596,No
1468.0,2.9000000040468876e-05,No,No,C2,0.7499431754301596,No
1468.0,2.9000000040468876e-05,No,No,C2,0.7499431754301596,No
1468.0,3.899999956047395e-05,No,No,C2,0.7499431766353007,No
1468.0,2.500000027794158e-05,No,No,C2,0.7499431752294633,No
1468.0,0.015514000000166561,No,No,C2,0.7499420809753998,No
75.0,0.1142499999998563,No,No,C1,0.7426587212725981,No
1468.0,0.0919370000001436,No,No,C2,0.7499335853933798,No
1468.0,0.002083000000084212,No,No,C2,0.7499431800029992,No
1468.0,0.0017799999998260319,No,No,C2,0.7499431911708587,No
1468.0,6.899999993947858e-05,No,No,C2,0.7499431788608641,No
1468.0,0.0022700000001805165,No,No,C2,0.7499431722951353,No
1468.0,0.0014909999999872525,No,No,C2,0.7499431998134699,No
1468.0,0.0012070000000221626,No,No,C2,0.7499432047386736,No
1468.0,0.0009170000002995948,No,No,C2,0.7499432045850741,No
1468.0,0.001616999999669133,No,No,C2,0.7499431963844846,No
1468.0,0.0006039999998392886,No,No,C2,0.7499431980769096,No
1468.0,0.0009870000001228618,No,No,C2,0.7499432052491117,No
1468.0,4.799999987881165e-05,No,No,C2,0.7499431772961128,No
1468.0,0.011829000000034284,No,No,C2,0.7499424398028448,No
1468.0,0.0010990000000674627,No,No,C2,0.7499432054382792,No
1468.0,0.0001320000001214794,No,No,C2,0.749943182188924,No
1468.0,0.0013440000000173313,No,No,C2,0.7499432028708481,No
1468.0,0.00026600000023790926,No,No,C2,0.7499431881929373,No
1468.0,0.0017459999996845,No,No,C2,0.7499431922934325,No
1468.0,0.006767999999965468,No,No,C2,0.7499428813892401,No
1468.0,0.0003189999999904103,No,No,C2,0.7499431900813248,No
1468.0,0.0016439999999420252,No,No,C2,0.7499431955829462,No
1468.0,0.0036830000001373264,No,No,C2,0.7499430987246669,No
1468.0,0.002645999999913329,No,No,C2,0.7499431550438755,No
1468.0,0.00029500000005100446,No,No,C2,0.7499431892687518,No
1468.0,0.008683000000019092,No,No,C2,0.7499427227129389,No
1468.0,8.299999990413198e-05,No,No,C2,0.7499431795103757,No
1468.0,5.29999999798747e-05,No,No,C2,0.7499431777212974,No
65.0,0.0007990000001427688,No,No,C1,0.7430855380428067,No
1468.0,0.0005519999997432024,No,No,C2,0.7499431967425619,No
1468.0,0.0013320000000476284,No,No,C2,0.7499432030771994,No
1468.0,0.0002939999997124687,No,No,C2,0.7499431892055858,No
1468.0,0.0017000000002553861,No,No,C2,0.7499431938262248,No
1468.0,8.600000023761822e-05,No,No,C2,0.749943179705143,No
1468.0,5.599999985861359e-05,No,No,C2,0.7499431778185343,No
1468.0,0.002705999999989217,No,No,C2,0.749943152092359,No
1468.0,0.0025530000000344444,No,No,C2,0.7499431594797786,No
1468.0,0.09527800000000752,No,No,C2,0.7499332011618294,No
1468.0,0.006200000000035288,No,No,C2,0.7499429253710648,No
1468.0,0.0011899999999513966,No,No,C2,0.7499432049321937,No
1468.0,0.004174000000148226,No,No,C2,0.7499430684186339,No
1468.0,5.6999999742402e-05,No,No,C2,0.7499431780040615,No
1468.0,0.0018810000001394656,No,No,C2,0.7499431876510658,No
1468.0,0.001427999999577878,No,No,C2,0.7499432012574956,No
1468.0,5.300000043462205e-05,No,No,C2,0.7499431777212974,No
1468.0,0.004484000000047672,No,No,C2,0.749943048307926,No
1468.0,0.17960299999981544,No,No,C2,0.7499233843847783,No
1468.0,0.0068660000001727894,No,No,C2,0.7499428736236032,No
1468.0,7.699999991928053e-05,No,No,C2,0.749943179170776,No
1468.0,0.00014099999998506973,No,No,C2,0.749943182533718,No
1468.0,0.0027850000001308217,No,No,C2,0.7499431481627081,No
1468.0,0.00026800000000548607,No,No,C2,0.7499431882957242,No
