No.,Time,Source,Destination,Protocol,Length,Info
852796,1934.481677,192.168.0.6,192.168.0.2,TCP,66,58050  >  445 [ACK] Seq=240 Ack=808 Win=3669824 Len=0 TSval=277335571 TSecr=39323112
852797,1934.484947,192.168.0.6,192.168.0.2,SMB,109,Logoff AndX Request
852799,1934.487684,192.168.0.6,192.168.0.2,TCP,66,58050  >  445 [ACK] Seq=283 Ack=851 Win=3669952 Len=0 TSval=277335576 TSecr=39323121
852800,1934.488195,192.168.0.6,192.168.0.2,TCP,66,"58050  >  445 [FIN, ACK] Seq=283 Ack=851 Win=3669952 Len=0 TSval=277335576 TSecr=39323121"
949658,1995.188381,192.168.0.6,224.0.0.22,IGMPv3,62,Membership Report / Join group 239.192.152.143 for any sources / Join group 239.255.255.250 for any sources
1035774,2059.719314,192.168.0.6,192.168.0.255,BROWSER,216,Get Backup List Request
1035776,2059.722174,192.168.0.6,192.168.0.2,NBNS,92,Name query NBSTAT DESKTOP-BNL0PME<20>
1035800,2059.8218,192.168.0.6,192.168.0.255,BROWSER,216,Get Backup List Request
1035802,2059.824035,192.168.0.6,192.168.0.2,NBNS,92,Name query NBSTAT DESKTOP-BNL0PME<20>
1061398,2120.058636,192.168.0.6,224.0.0.22,IGMPv3,62,Membership Report / Join group 239.192.152.143 for any sources / Join group 239.255.255.250 for any sources
1092338,2173.310744000001,192.168.0.6,239.192.152.143,UDP,161,6771  >  6771 Len=119
1094883,2177.309629,192.168.0.6,239.192.152.143,UDP,161,6771  >  6771 Len=119
1119652,2215.471983,192.168.0.6,192.168.0.255,NBNS,110,Release NB MACBOOKPRO-9849<00>
1120295,2216.700891,192.168.0.6,192.168.0.255,NBNS,92,Name query NB DESKTOP-BNL0PME<20>
1120303,2216.704132,192.168.0.6,192.168.0.2,TCP,78,58111  >  445 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=277616843 TSecr=0 SACK_PERM=1
1120305,2216.704373,192.168.0.6,192.168.0.2,TCP,78,58112  >  139 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=277616843 TSecr=0 SACK_PERM=1
1120307,2216.7075600000007,192.168.0.6,192.168.0.2,TCP,66,58111  >  445 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=277616845 TSecr=39605340
1120308,2216.707561,192.168.0.6,192.168.0.2,TCP,78,58113  >  445 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=277616845 TSecr=0 SACK_PERM=1
1120309,2216.707561,192.168.0.6,192.168.0.2,TCP,54,58112  >  139 [RST] Seq=1 Win=0 Len=0
1120310,2216.707561,192.168.0.6,192.168.0.2,TCP,66,"58111  >  445 [FIN, ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=277616845 TSecr=39605340"
1120314,2216.710968,192.168.0.6,192.168.0.2,TCP,66,58113  >  445 [ACK] Seq=1 Ack=1 Win=3670656 Len=0 TSval=277616849 TSecr=39605343
1120315,2216.710969,192.168.0.6,192.168.0.2,SMB,117,Negotiate Protocol Request
1120317,2216.71394,192.168.0.6,192.168.0.2,TCP,66,58113  >  445 [ACK] Seq=52 Ack=410 Win=3670208 Len=0 TSval=277616852 TSecr=39605347
1120432,2216.960788,192.168.0.6,192.168.0.2,SMB,254,"Session Setup AndX Request, NTLMSSP_NEGOTIATE"
1120434,2217.011963,192.168.0.6,192.168.0.2,TCP,66,58113  >  445 [ACK] Seq=240 Ack=808 Win=3669824 Len=0 TSval=277617147 TSecr=39605597
1120435,2217.013754,192.168.0.6,192.168.0.2,SMB,109,Logoff AndX Request
1120438,2217.045708,192.168.0.6,192.168.0.2,TCP,66,58113  >  445 [ACK] Seq=283 Ack=851 Win=3669952 Len=0 TSval=277617180 TSecr=39605649
