No.,Time,Source,Destination,Protocol,Length,Info,TBP
184223,571.094793,192.168.0.6,224.0.0.22,IGMPv3,62,Membership Report / Join group 239.192.152.143 for any sources / Join group 239.255.255.250 for any sources,124.80671099999996
204908,613.493449,192.168.0.6,192.168.0.255,NBNS,92,Name query NB WORKGROUP<1d>,42.398656000000074
204942,613.597134,192.168.0.6,192.168.0.255,BROWSER,216,Get Backup List Request,0.10368499999992764
204944,613.598805,192.168.0.6,192.168.0.255,NBNS,92,Name query NB <01><02>__MSBROWSE__<02><01>,0.0016709999999875436
205023,613.699608,192.168.0.6,192.168.0.2,NBNS,104,Name query response NB 192.168.0.6,0.10080300000004172
205029,613.703118,192.168.0.6,192.168.0.2,NBNS,92,Name query NBSTAT DESKTOP-BNL0PME<20>,0.003510000000005675
231543,671.313179,192.168.0.6,239.192.152.143,UDP,161,6771  >  6771 Len=119,57.61006099999997
232607,675.2813150000002,192.168.0.6,239.192.152.143,UDP,161,6771  >  6771 Len=119,3.968136000000186
248846,714.564605,192.168.0.6,224.0.0.22,IGMPv3,62,Membership Report / Join group 239.192.152.143 for any sources / Join group 239.255.255.250 for any sources,39.28328999999985
249396,717.296541,192.168.0.6,239.192.152.143,UDP,161,6771  >  6771 Len=119,2.7319360000000192
253890,728.185987,192.168.0.6,224.0.0.251,MDNS,132,"Standard query 0x0000 PTR 9.9.8.4.4.1.d.5.2.7.5.3.0.c.c.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QU"" question",10.889445999999907
254100,729.1920150000003,192.168.0.6,224.0.0.251,MDNS,132,"Standard query 0x0000 PTR 9.9.8.4.4.1.d.5.2.7.5.3.0.c.c.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question",1.006028000000356
256185,731.3027599999997,192.168.0.6,239.192.152.143,UDP,161,6771  >  6771 Len=119,2.1107449999993837
256620,732.201875,192.168.0.6,224.0.0.251,MDNS,132,"Standard query 0x0000 PTR 9.9.8.4.4.1.d.5.2.7.5.3.0.c.c.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question",0.8991150000002791
373027,971.332853,192.168.0.6,239.192.152.143,UDP,161,6771  >  6771 Len=119,239.1309779999999
376185,975.267667,192.168.0.6,239.192.152.143,UDP,161,6771  >  6771 Len=119,3.934814000000074
409361,1017.268693,192.168.0.6,239.192.152.143,UDP,161,6771  >  6771 Len=119,42.00102600000002
414306,1031.286295,192.168.0.6,239.192.152.143,UDP,161,6771  >  6771 Len=119,14.017601999999895
419614,1049.466726,192.168.0.6,224.0.0.22,IGMPv3,62,Membership Report / Join group 239.192.152.143 for any sources / Join group 239.255.255.250 for any sources,18.180431
419619,1049.521659,192.168.0.6,192.168.0.255,NBNS,92,Name query NB DESKTOP-BNL0PME<20>,0.054933000000119137
419621,1049.525407,192.168.0.6,192.168.0.2,TCP,78,57885  >  445 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=276453300 TSecr=0 SACK_PERM=1,0.003748000000086904
419622,1049.525408,192.168.0.6,192.168.0.2,TCP,78,57886  >  139 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=276453300 TSecr=0 SACK_PERM=1,9.99999883788405e-07
419626,1049.5274539999998,192.168.0.6,192.168.0.2,TCP,66,57885  >  445 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=276453303 TSecr=38438161,0.0020459999998365674
419627,1049.528634,192.168.0.6,192.168.0.2,TCP,78,57887  >  445 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=276453303 TSecr=0 SACK_PERM=1,0.001180000000204018
419628,1049.528635,192.168.0.6,192.168.0.2,TCP,66,57886  >  139 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=276453303 TSecr=38438161,9.99999883788405e-07
419629,1049.528635,192.168.0.6,192.168.0.2,TCP,66,"57885  >  445 [FIN, ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=276453303 TSecr=38438161",0.0
419630,1049.528636,192.168.0.6,192.168.0.2,TCP,66,"57886  >  139 [FIN, ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=276453303 TSecr=38438161",1.0000001111620804e-06
