No.,Time,Source,Destination,Protocol,Length,Info
419634,1049.53154,192.168.0.6,192.168.0.2,TCP,66,57886  >  139 [ACK] Seq=2 Ack=2 Win=131744 Len=0 TSval=276453306 TSecr=38438165
419635,1049.531541,192.168.0.6,192.168.0.2,TCP,66,57887  >  445 [ACK] Seq=1 Ack=1 Win=3670656 Len=0 TSval=276453306 TSecr=38438164
419636,1049.532151,192.168.0.6,192.168.0.2,SMB,117,Negotiate Protocol Request
419699,1049.650542,192.168.0.6,192.168.0.2,TCP,66,57887  >  445 [ACK] Seq=52 Ack=410 Win=3670208 Len=0 TSval=276453424 TSecr=38438284
419792,1050.243249,192.168.0.6,192.168.0.2,SMB,254,"Session Setup AndX Request, NTLMSSP_NEGOTIATE"
419794,1050.256846,192.168.0.6,192.168.0.2,TCP,66,57887  >  445 [ACK] Seq=240 Ack=808 Win=3669824 Len=0 TSval=276454026 TSecr=38438890
419795,1050.258025,192.168.0.6,192.168.0.2,SMB,109,Logoff AndX Request
419806,1050.26252,192.168.0.6,192.168.0.2,TCP,66,57887  >  445 [ACK] Seq=283 Ack=851 Win=3669952 Len=0 TSval=276454028 TSecr=38438894
419810,1050.26406,192.168.0.6,192.168.0.2,TCP,66,"57887  >  445 [FIN, ACK] Seq=283 Ack=851 Win=3669952 Len=0 TSval=276454028 TSecr=38438894"
419895,1050.4430109999996,192.168.0.6,192.168.0.255,NBNS,110,Refresh NB MACBOOKPRO-9849<00>
464150,1144.23312,192.168.0.6,224.0.0.251,MDNS,233,"Standard query 0x0000 PTR _airport._tcp.local, ""QM"" question PTR _airplay._tcp.local, ""QM"" question PTR _raop._tcp.local, ""QM"" question PTR _uscan._tcp.local, ""QM"" question PTR _uscans._tcp.local, ""QM"" question PTR _ippusb._tcp.local, ""QM"" question PTR _scanner._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR _ipps._tcp.local, ""QM"" question PTR _printer._tcp.local, ""QM"" question PTR _pdl-datastream._tcp.local, ""QM"" question PTR _ptp._tcp.local, ""QM"" question"
472856,1174.544637,192.168.0.6,224.0.0.22,IGMPv3,62,Membership Report / Join group 239.192.152.143 for any sources / Join group 239.255.255.250 for any sources
516186,1271.295533,192.168.0.6,239.192.152.143,UDP,161,6771  >  6771 Len=119
518809,1275.29324,192.168.0.6,239.192.152.143,UDP,161,6771  >  6771 Len=119
519000,1275.7845539999996,192.168.0.6,192.168.0.2,TCP,78,57932  >  12236 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=276679152 TSecr=0 SACK_PERM=1
519008,1275.787872,192.168.0.6,192.168.0.2,TCP,66,57932  >  12236 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=276679154 TSecr=38664420
519010,1275.789325,192.168.0.6,192.168.0.2,HTTP,128,GET / HTTP/1.1 
519018,1275.793465,192.168.0.6,192.168.0.2,TCP,66,57932  >  12236 [ACK] Seq=63 Ack=109 Win=131648 Len=0 TSval=276679159 TSecr=38664425
519021,1275.795128,192.168.0.6,192.168.0.2,TCP,66,57932  >  12236 [ACK] Seq=63 Ack=110 Win=131648 Len=0 TSval=276679159 TSecr=38664426
519022,1275.796515,192.168.0.6,192.168.0.2,TCP,66,"57932  >  12236 [FIN, ACK] Seq=63 Ack=110 Win=131648 Len=0 TSval=276679159 TSecr=38664426"
537778,1316.601181,192.168.0.6,224.0.0.22,IGMPv3,62,Membership Report / Join group 239.192.152.143 for any sources / Join group 239.255.255.250 for any sources
537882,1317.272825,192.168.0.6,239.192.152.143,UDP,161,6771  >  6771 Len=119
541379,1331.26342,192.168.0.6,239.192.152.143,UDP,161,6771  >  6771 Len=119
606816,1467.53875,192.168.0.6,224.0.0.22,IGMPv3,62,Membership Report / Join group 239.192.152.143 for any sources / Join group 239.255.255.250 for any sources
616446,1513.81448,192.168.0.6,192.168.0.255,BROWSER,216,Get Backup List Request
616448,1513.816295,192.168.0.6,192.168.0.255,NBNS,110,Refresh NB MACBOOKPRO-9849<00>
616496,1513.9164039999996,192.168.0.6,192.168.0.2,NBNS,104,Name query response NB 192.168.0.6
