No.,Time,Source,Destination,Protocol,Length,Info
23192,49.056216,192.168.0.6,224.0.0.251,MDNS,262,"Standard query 0x0000 PTR _airport._tcp.local, ""QU"" question PTR _airplay._tcp.local, ""QU"" question PTR _raop._tcp.local, ""QU"" question PTR _uscan._tcp.local, ""QU"" question PTR _uscans._tcp.local, ""QU"" question PTR _ippusb._tcp.local, ""QU"" question PTR _scanner._tcp.local, ""QU"" question PTR _ipp._tcp.local, ""QU"" question PTR _ipps._tcp.local, ""QU"" question PTR _printer._tcp.local, ""QU"" question PTR _pdl-datastream._tcp.local, ""QU"" question PTR _ptp._tcp.local, ""QU"" question OPT"
23201,50.041086,192.168.0.6,224.0.0.251,MDNS,262,"Standard query 0x0000 PTR _airport._tcp.local, ""QM"" question PTR _airplay._tcp.local, ""QM"" question PTR _raop._tcp.local, ""QM"" question PTR _uscan._tcp.local, ""QM"" question PTR _uscans._tcp.local, ""QM"" question PTR _ippusb._tcp.local, ""QM"" question PTR _scanner._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR _ipps._tcp.local, ""QM"" question PTR _printer._tcp.local, ""QM"" question PTR _pdl-datastream._tcp.local, ""QM"" question PTR _ptp._tcp.local, ""QM"" question OPT"
23225,51.816089,192.168.0.6,192.168.0.255,NBNS,110,Registration NB MACBOOKPRO-9849<00>
23241,53.044906000000005,192.168.0.6,192.168.0.255,NBNS,110,Registration NB MACBOOKPRO-9849<00>
23242,53.051625,192.168.0.6,224.0.0.251,MDNS,262,"Standard query 0x0000 PTR _airport._tcp.local, ""QM"" question PTR _airplay._tcp.local, ""QM"" question PTR _raop._tcp.local, ""QM"" question PTR _uscan._tcp.local, ""QM"" question PTR _uscans._tcp.local, ""QM"" question PTR _ippusb._tcp.local, ""QM"" question PTR _scanner._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR _ipps._tcp.local, ""QM"" question PTR _printer._tcp.local, ""QM"" question PTR _pdl-datastream._tcp.local, ""QM"" question PTR _ptp._tcp.local, ""QM"" question OPT"
23245,54.069047999999995,192.168.0.6,192.168.0.255,NBNS,110,Registration NB MACBOOKPRO-9849<00>
25791,62.071649,192.168.0.6,224.0.0.251,MDNS,262,"Standard query 0x0000 PTR _airport._tcp.local, ""QM"" question PTR _airplay._tcp.local, ""QM"" question PTR _raop._tcp.local, ""QM"" question PTR _uscan._tcp.local, ""QM"" question PTR _uscans._tcp.local, ""QM"" question PTR _ippusb._tcp.local, ""QM"" question PTR _scanner._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR _ipps._tcp.local, ""QM"" question PTR _printer._tcp.local, ""QM"" question PTR _pdl-datastream._tcp.local, ""QM"" question PTR _ptp._tcp.local, ""QM"" question OPT"
27937,71.35257299999999,192.168.0.6,239.192.152.143,UDP,161,6771  >  6771 Len=119
27978,75.28448399999999,192.168.0.6,239.192.152.143,UDP,161,6771  >  6771 Len=119
30155,86.939877,192.168.0.6,192.168.0.255,NBNS,92,Name query NB <01><02>__MSBROWSE__<02><01>
30201,89.12921999999999,192.168.0.6,224.0.0.251,MDNS,262,"Standard query 0x0000 PTR _airport._tcp.local, ""QM"" question PTR _airplay._tcp.local, ""QM"" question PTR _raop._tcp.local, ""QM"" question PTR _uscan._tcp.local, ""QM"" question PTR _uscans._tcp.local, ""QM"" question PTR _ippusb._tcp.local, ""QM"" question PTR _scanner._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR _ipps._tcp.local, ""QM"" question PTR _printer._tcp.local, ""QM"" question PTR _pdl-datastream._tcp.local, ""QM"" question PTR _ptp._tcp.local, ""QM"" question OPT"
37362,117.302571,192.168.0.6,239.192.152.143,UDP,161,6771  >  6771 Len=119
39669,131.280458,192.168.0.6,239.192.152.143,UDP,161,6771  >  6771 Len=119
