Length,TBP,Selected,Selected(1),Cluster,Silhouette,Selected(2)
66.0,0.0029039999999440624,No,No,C7,0.7497989648947443,No
66.0,1.0000001111620804e-06,No,No,C7,0.7497768805826259,No
117.0,0.0006099999998241401,No,No,C2,0.7076873409325777,No
66.0,0.11839100000020153,No,No,C7,0.7484719328617341,No
254.0,0.5927070000000185,No,No,C4,0.5535836889335503,No
66.0,0.013596999999890613,No,No,C7,0.7497139003529053,No
109.0,0.0011790000000928558,No,No,C2,0.7109686474348047,No
66.0,0.004494999999906213,No,No,C7,0.7497944464744803,No
66.0,0.0015399999999772265,No,No,C7,0.7497945812195539,No
110.0,0.1789509999996426,No,No,C2,0.7145400893861469,No
233.0,93.79010900000027,No,No,C4,0.4959093171031825,No
62.0,30.31151700000009,No,No,C1,0.6849449822547211,No
161.0,96.750896,No,No,C5,0.5,No
161.0,3.9977069999999912,No,No,C6,0.7264052555774699,No
78.0,0.4913139999996474,No,No,C3,0.5,No
66.0,0.003318000000490429,No,No,C7,0.749798964610741,No
128.0,0.0014529999998558196,No,No,C2,0.6401269410488005,No
66.0,0.004140000000006694,No,No,C7,0.7497965402796816,No
66.0,0.0016630000000077414,No,No,C7,0.7497953065063293,No
66.0,0.0013870000000224536,No,No,C7,0.7497932278928281,No
62.0,40.804666,No,No,C1,0.7036022191080078,No
161.0,0.6716440000000148,No,No,C6,0.719878652302384,No
161.0,13.990594999999983,No,No,C6,0.7082831446709785,No
62.0,136.27532999999994,No,No,C8,0.5,No
216.0,46.27573000000007,No,No,C4,0.5611065710217696,No
110.0,0.001814999999851352,No,No,C2,0.714565310770007,No
104.0,0.10010899999952017,No,No,C2,0.6684015171448531,No
