Length,TBP,Selected,Selected(1),Cluster,Silhouette,Selected(2)
66.0,0.005341999999927793,No,No,C1,0.7243581902384142,No
109.0,0.003269999999929496,No,No,C1,0.6786375353728875,No
66.0,0.0027370000000246364,No,No,C1,0.724358165265891,No
66.0,0.0005109999999604042,No,No,C1,0.7243571777392236,No
62.0,60.70018600000003,No,No,C1,0.6678573468804285,No
216.0,64.53093299999999,No,No,C2,0.6573582408104034,No
92.0,0.0028600000000551518,No,No,C1,0.7097535274229367,No
216.0,0.0996260000001712,No,No,C2,0.6669521328230494,No
92.0,0.0022349999999278225,No,No,C1,0.7097533938637484,No
62.0,60.23460099999966,No,No,C1,0.6684378707048477,No
161.0,53.25210800000104,No,No,C2,0.5787226606674858,No
161.0,3.998884999999064,No,No,C2,0.5545320463846757,No
110.0,38.16235400000005,No,No,C1,0.6389024227584359,No
92.0,1.2289080000000467,No,No,C1,0.7097722524407626,No
78.0,0.003240999999889027,No,No,C1,0.7213961346136128,No
78.0,0.00024100000018734136,No,No,C1,0.7213959091580695,No
66.0,0.003187000000707485,No,No,C1,0.7243582818342816,No
78.0,9.99998974293703e-07,No,No,C1,0.7213958580081449,No
54.0,0.0,No,No,C1,0.7138126803966821,No
66.0,0.0,No,No,C1,0.7243568873011942,No
66.0,0.003407000000152039,No,No,C1,0.7243582971225773,No
117.0,1.0000003385357559e-06,No,No,C1,0.6539143636925897,No
66.0,0.0029709999994338428,No,No,C1,0.7243582398881527,No
254.0,0.2468480000002273,No,No,C2,0.6617901198635285,No
66.0,0.05117500000005748,No,No,C1,0.7243475112652349,No
109.0,0.0017910000001393198,No,No,C1,0.6786374385207831,No
66.0,0.03195399999958681,No,No,C1,0.7243533896974507,No
